Token,Nodes,Dates
24,"[99, 61077, 235]","2018-01-11, 2018-01-18"
21,"[704, 34515, 56173]","2018-01-19, 2018-02-23"
186,"[70368, 70115, 71701]","2018-02-28, 2018-03-01"
271,"[73300, 72997, 73278]","2018-03-05, 2018-03-28, 2018-07-19"
270,"[73667, 58334, 72966]","2018-03-12, 2018-03-15, 2018-03-20, 2018-03-21, 2018-03-22"
270,"[73667, 72966, 69791]","2018-03-16, 2018-03-17, 2018-03-18"
270,"[73667, 70956, 72966]","2018-03-25, 2018-03-31"
376,"[82720, 83101, 35647]","2018-03-29, 2018-03-30"
281,"[6659, 75021, 75039]","2018-04-18, 2018-04-26"
420,"[86532, 86533, 86647]","2018-04-19, 2018-04-21"
155,"[69451, 70819, 75662]","2018-04-20, 2018-07-30"
155,"[69451, 73069, 75662]","2018-04-21, 2018-04-25"
406,"[87794, 66643, 87667]","2018-05-08, 2018-05-09"
468,"[90137, 85037, 90142]","2018-05-12, 2018-05-13"
388,"[66505, 83437, 38895]","2018-05-15, 2018-05-16"
1,"[96, 2, 90754]","2018-05-20, 2018-09-15, 2018-09-30"
388,"[84261, 83437, 74646]","2018-05-28, 2018-07-08"
486,"[92120, 92822, 92582]","2018-06-03, 2018-06-06"
471,"[92842, 90565, 89975]","2018-06-06, 2018-06-07"
388,"[83437, 84261, 74646]","2018-06-11, 2018-07-24"
498,"[70211, 94108, 94109]","2018-06-12, 2018-06-18, 2018-06-21"
388,"[83932, 83437, 74646]","2018-06-15, 2018-06-18"
388,"[84261, 83437, 75255]","2018-06-19, 2018-06-20"
464,"[90584, 88497, 94418]","2018-06-19, 2018-07-15"
365,"[81491, 82628, 77527]","2018-06-27, 2018-06-28, 2018-06-29, 2018-08-03"
533,"[106480, 102117, 106479]","2018-08-19, 2018-10-20"
494,"[102664, 93809, 107178]","2018-08-24, 2018-08-26, 2018-08-27"
685,"[109208, 109181, 109182]","2018-09-04, 2018-09-10"
24,"[99, 90225, 109515]","2018-09-05, 2018-09-06"
155,"[69450, 69451, 84967]","2018-09-06, 2018-09-07"
689,"[109664, 109362, 111429]","2018-09-11, 2018-09-15"
642,"[105723, 105724, 107678]","2018-09-17, 2018-09-20"
763,"[155714, 155668, 155669]","2018-09-28, 2018-09-30"
766,"[156250, 155947, 155948]","2018-10-02, 2018-12-16"
773,"[156441, 156901, 156951]","2018-10-07, 2018-10-08"
766,"[155714, 155947, 155948]","2018-10-22, 2018-11-17"
820,"[162073, 162074, 156766]","2018-10-24, 2018-10-25"
82,"[63936, 83770, 153165]","2018-11-04, 2018-11-30"
266,"[63714, 72547, 165220]","2018-11-08, 2018-11-09"
533,"[162531, 102117, 86814]","2018-11-08, 2018-11-10"
824,"[106724, 162228, 162229]","2018-12-14, 2019-01-09, 2019-01-11, 2019-01-14, 2019-01-20"
824,"[106729, 162228, 162229]","2018-12-15, 2018-12-30"
24,"[73992, 99, 175431]","2018-12-19, 2018-12-20"
824,"[168697, 162228, 162229]","2018-12-20, 2018-12-21"
657,"[154659, 107212, 175277]","2019-01-02, 2019-01-03"
824,"[109137, 162228, 162229]","2019-01-04, 2019-01-07, 2019-01-08, 2019-01-13, 2019-01-18, 2019-01-21"
657,"[107212, 107046, 164951]","2019-01-16, 2019-01-17, 2019-03-20, 2019-04-04, 2019-04-09, 2019-04-14, 2019-04-27, 2019-05-14, 2019-05-28"
657,"[107212, 107046, 179470]","2019-01-18, 2019-01-28"
657,"[107212, 179996, 179470]","2019-01-22, 2019-02-03"
684,"[182705, 184803, 109164]","2019-01-22, 2019-01-24"
1012,"[184299, 184300, 177455]","2019-01-27, 2019-01-30"
633,"[171320, 105153, 105322]","2019-01-28, 2019-03-23, 2019-05-08, 2019-05-26"
657,"[168348, 107212, 107046]","2019-02-15, 2019-03-28"
997,"[170932, 168300, 171141]","2019-02-18, 2019-02-25"
657,"[107212, 107046, 169246]","2019-03-03, 2019-03-05, 2019-03-21"
24,"[193704, 99, 182092]","2019-03-06, 2019-03-08"
937,"[76376, 207803, 214477]","2019-04-05, 2019-04-06"
633,"[105153, 105322, 108350]","2019-04-06, 2019-04-09"
657,"[168067, 107212, 107046]","2019-04-07, 2019-05-26, 2019-05-30"
1334,"[195016, 201370, 200293]","2019-04-15, 2019-04-26"
657,"[225083, 107212, 107046]","2019-04-17, 2019-04-19"
657,"[107212, 107046, 162103]","2019-04-28, 2019-04-30, 2019-05-04"
1017,"[162244, 108605, 174559]","2019-05-02, 2019-05-26"
657,"[161819, 107212, 107046]","2019-05-13, 2019-05-20, 2019-05-21"
657,"[390369, 107212, 107046]","2019-05-25, 2019-05-31"
633,"[105153, 105322, 106132]","2019-05-31, 2019-06-01"
850,"[163353, 177003, 164142]","2019-06-02, 2019-07-13"
657,"[158820, 107212, 107046]","2019-06-04, 2019-07-10"
1061,"[391848, 186449, 187967]","2019-06-06, 2019-06-18"
1322,"[396001, 395983, 192447]","2019-06-11, 2019-06-12"
936,"[403942, 402794, 398918]","2019-07-09, 2019-07-30"
1577,"[9318, 401884, 392622]","2019-07-13, 2019-10-14"
1577,"[401884, 392622, 9318]","2019-07-14, 2019-07-15, 2019-07-17"
1867,"[399545, 111753, 196884]","2019-07-14, 2019-07-28"
396,"[156385, 70819, 175307]","2019-08-02, 2020-03-14, 2020-04-21"
1430,"[211233, 215963, 211431]","2019-08-04, 2020-03-29"
2040,"[412257, 412258, 423981]","2019-08-15, 2019-08-29"
2006,"[112474, 233867, 426390]","2019-08-21, 2019-09-09"
2081,"[417632, 426545, 417634]","2019-08-22, 2019-10-07"
2040,"[412257, 412258, 417342]","2019-08-27, 2019-09-03"
1017,"[109104, 174559, 105464]","2019-09-01, 2019-10-10"
1485,"[195162, 235586, 390599]","2019-09-02, 2019-09-06"
858,"[398289, 171171, 161581]","2019-09-09, 2019-09-10, 2019-09-15, 2019-09-18"
1743,"[410672, 407595, 401419]","2019-09-12, 2019-09-13, 2019-09-26, 2019-09-27"
2452,"[417633, 439394, 417634]","2019-10-07, 2019-10-10, 2019-10-30, 2019-11-06, 2019-11-26"
2452,"[439394, 436981, 417634]","2019-10-09, 2019-10-28"
2144,"[28194, 201261, 424678]","2019-10-30, 2019-11-05, 2019-11-28, 2020-02-20"
2731,"[226129, 454986, 186463]","2019-11-29, 2019-12-02"
1577,"[402987, 411317, 411318]","2019-12-02, 2019-12-12, 2020-01-04"
641,"[107009, 111819, 105743]","2019-12-08, 2019-12-28"
2846,"[410073, 417988, 459278]","2019-12-10, 2020-01-02"
1430,"[211179, 215963, 211431]","2019-12-15, 2020-02-05, 2020-03-11"
2787,"[458920, 456483, 456492]","2019-12-17, 2019-12-27"
2935,"[462305, 456063, 417663]","2019-12-19, 2019-12-22"
1871,"[223529, 466054, 211111]","2020-01-02, 2020-04-02"
983,"[189596, 424253, 95599]","2020-01-04, 2020-01-09, 2020-01-10"
266,"[447594, 72547, 469479]","2020-01-11, 2020-02-17"
2114,"[391193, 458002, 177571]","2020-01-15, 2020-01-19"
2512,"[442352, 90691, 446709]","2020-01-15, 2020-02-23"
1955,"[434013, 473534, 473535]","2020-01-20, 2020-01-26"
1964,"[421505, 226618, 88286]","2020-01-21, 2020-01-22, 2020-01-31, 2020-02-11"
936,"[286945, 474963, 474503]","2020-01-29, 2020-01-31"
657,"[108000, 107212, 162103]","2020-02-16, 2020-04-21, 2020-04-29"
3050,"[154960, 474986, 465989]","2020-02-16, 2020-02-23"
3224,"[425456, 467877, 150991]","2020-02-18, 2020-04-11"
2998,"[449689, 490453, 464623]","2020-02-20, 2020-03-07"
2507,"[91504, 91059, 507719]","2020-02-27, 2020-03-01"
1061,"[186449, 181994, 179398]","2020-02-29, 2020-03-05, 2020-03-09, 2020-03-10, 2020-03-11"
1955,"[82651, 406087, 502119]","2020-03-17, 2020-03-18"
2710,"[507997, 453813, 526509]","2020-03-21, 2020-03-23"
4036,"[533529, 537299, 537303]","2020-03-22, 2020-03-24"
4083,"[504752, 537411, 538315]","2020-03-25, 2020-03-28, 2020-03-30, 2020-03-31, 2020-04-15, 2020-04-17"
4036,"[539139, 538642, 539138]","2020-03-27, 2020-04-03"
983,"[189658, 186091, 95599]","2020-04-02, 2020-05-20"
2431,"[210437, 450333, 204287]","2020-04-04, 2020-04-05"
