Token,Nodes,Dates
271,"[12, 72997, 73278, 73300]","2018-03-05, 2018-03-28"
270,"[73667, 12, 72966, 69791]","2018-03-16, 2018-03-17"
186,"[74467, 74468, 74469, 74471]","2018-03-20, 2018-03-22"
84,"[72207, 71540, 71534, 71679]","2018-04-12, 2018-04-13"
420,"[86533, 12, 86532, 86647]","2018-04-19, 2018-04-21"
281,"[6659, 12, 75021, 75076]","2018-05-02, 2018-05-18"
468,"[90137, 12, 85037, 90142]","2018-05-12, 2018-05-13"
485,"[92120, 8681, 12, 92582]","2018-06-06, 2018-06-07"
442,"[94340, 12, 88157, 88639]","2018-06-14, 2018-06-15, 2018-06-18, 2018-06-19, 2018-06-20, 2018-06-21, 2018-06-22, 2018-06-25, 2018-06-27, 2018-06-29, 2018-06-30, 2018-07-01, 2018-07-02, 2018-07-03, 2018-07-04, 2018-07-05, 2018-07-06, 2018-07-07, 2018-07-08, 2018-07-09, 2018-07-10, 2018-07-11, 2018-07-12, 2018-07-13, 2018-07-14, 2018-07-15, 2018-07-16, 2018-07-17, 2018-07-18, 2018-07-19, 2018-07-20, 2018-07-21, 2018-07-22, 2018-07-23, 2018-07-24, 2018-07-25, 2018-07-26, 2018-07-27, 2018-07-28, 2018-07-29, 2018-07-30, 2018-07-31, 2018-08-01, 2018-08-02, 2018-08-03, 2018-08-04, 2018-08-11, 2018-08-12, 2018-08-13, 2018-08-14, 2018-08-15, 2018-08-16, 2018-08-17, 2018-08-22, 2018-08-23, 2018-08-24, 2018-08-25, 2018-08-26, 2018-08-27, 2018-08-28, 2018-08-29, 2018-08-30, 2018-08-31"
689,"[109664, 109362, 12, 111429]","2018-09-11, 2018-09-15"
642,"[105724, 105723, 12, 107678]","2018-09-17, 2018-09-20"
424,"[105896, 112170, 12, 86397]","2018-09-20, 2018-09-25"
766,"[156250, 155947, 155948, 12]","2018-10-02, 2018-12-16"
766,"[155714, 155947, 155948, 12]","2018-10-22, 2018-11-17"
925,"[168792, 12, 71471, 76023]","2018-11-27, 2018-11-30"
824,"[106729, 162228, 162229, 106719]","2018-12-28, 2019-01-12"
633,"[171320, 105153, 105322, 12]","2019-01-01, 2019-01-28, 2019-04-25, 2019-05-08, 2019-05-24, 2019-05-26"
657,"[107212, 12, 107046, 164951]","2019-01-16, 2019-01-17, 2019-03-20, 2019-04-04, 2019-04-09, 2019-04-14, 2019-04-27, 2019-05-14, 2019-05-28"
1012,"[184300, 184299, 12, 177455]","2019-01-27, 2019-01-30"
1081,"[44707, 12, 179461, 104540]","2019-01-30, 2019-02-09"
1081,"[183148, 12, 179461, 187078]","2019-02-08, 2019-02-14"
657,"[168348, 107212, 12, 107046]","2019-02-15, 2019-03-28"
657,"[107212, 12, 107046, 169246]","2019-03-03, 2019-03-05, 2019-03-21"
1398,"[207872, 207870, 208774, 209646]","2019-03-29, 2019-04-05, 2019-04-21, 2019-04-23"
1012,"[178442, 188203, 184300, 12]","2019-04-01, 2019-04-18"
657,"[168067, 107212, 12, 107046]","2019-04-07, 2019-05-26, 2019-05-30"
1430,"[211233, 215963, 12, 211431]","2019-04-15, 2020-04-16"
657,"[225083, 107212, 12, 107046]","2019-04-17, 2019-04-19"
657,"[107212, 12, 107046, 162103]","2019-04-28, 2019-04-30, 2019-05-04"
1398,"[207872, 231050, 208774, 207870]","2019-05-01, 2019-05-02, 2019-05-14"
1017,"[12, 162244, 108605, 174559]","2019-05-02, 2019-05-26"
657,"[161819, 107212, 12, 107046]","2019-05-13, 2019-05-20, 2019-05-21"
1398,"[354424, 207872, 208774, 207870]","2019-05-22, 2019-05-27"
657,"[390369, 107212, 12, 107046]","2019-05-25, 2019-05-31"
1398,"[216480, 207872, 208774, 207870]","2019-05-30, 2019-06-02, 2019-06-03, 2019-06-08"
633,"[105153, 105322, 12, 106132]","2019-05-31, 2019-06-01"
1430,"[211440, 211178, 215963, 12]","2019-06-05, 2019-08-09, 2019-10-18"
936,"[169189, 12, 170485, 169159]","2019-06-08, 2019-07-24"
1322,"[396001, 395983, 12, 192447]","2019-06-11, 2019-06-12"
1743,"[392552, 12, 392374, 392391]","2019-06-17, 2019-06-19, 2019-06-20"
1430,"[211178, 215963, 12, 211431]","2019-06-18, 2020-01-22"
1577,"[392622, 12, 9318, 73703]","2019-06-24, 2019-06-25"
1716,"[402016, 235177, 402826, 12]","2019-07-02, 2019-07-03"
1921,"[237144, 12, 237893, 403079]","2019-07-06, 2019-07-10"
1334,"[195016, 12, 200293, 234117]","2019-07-12, 2019-11-13"
1934,"[98208, 417937, 399010, 412314]","2019-08-06, 2019-08-07"
1577,"[237164, 401884, 189157, 392622]","2019-08-14, 2019-08-16"
1577,"[232475, 401884, 12, 392622]","2019-08-22, 2019-10-04"
1017,"[109104, 174559, 12, 105464]","2019-09-01, 2019-10-10"
1577,"[83644, 401884, 12, 392622]","2019-09-06, 2019-09-13"
1743,"[410672, 407595, 401419, 12]","2019-09-12, 2019-09-13, 2019-09-27"
2040,"[412257, 412258, 12, 420615]","2019-09-13, 2019-09-26"
2315,"[186833, 428187, 12, 152615]","2019-09-20, 2019-09-21"
1577,"[392622, 402987, 401884, 411318]","2019-09-24, 2019-10-08, 2019-10-17"
1081,"[395139, 12, 440045, 441862]","2019-10-16, 2019-10-17, 2019-10-18, 2019-10-21, 2019-10-25"
1577,"[402987, 411318, 401884, 392622]","2019-10-16, 2019-10-20, 2019-10-22"
2144,"[28194, 12, 201261, 424678]","2019-10-18, 2019-11-28, 2020-02-20"
2144,"[201261, 12, 26309, 424678]","2019-10-27, 2020-03-12"
1577,"[402987, 401884, 411317, 392622]","2019-10-29, 2019-11-09"
2731,"[226129, 454986, 12, 186463]","2019-11-29, 2019-12-02"
2935,"[462305, 456063, 12, 417663]","2019-12-19, 2019-12-22"
2512,"[442352, 90691, 12, 446709]","2020-01-15, 2020-02-23"
2554,"[504753, 448842, 12, 449509]","2020-02-13, 2020-02-14"
3050,"[154960, 474986, 12, 465989]","2020-02-16, 2020-02-23"
3224,"[425456, 12, 467877, 150991]","2020-02-18, 2020-04-11"
1955,"[526560, 102083, 12, 406087]","2020-03-03, 2020-03-29"
3863,"[206748, 12, 434797, 443047]","2020-03-09, 2020-03-30"
266,"[7162, 72547, 447594, 14278]","2020-03-10, 2020-03-13"
829,"[162512, 500074, 162516, 225422]","2020-03-27, 2020-04-01"
3379,"[426545, 417634, 12, 417633]","2020-03-27, 2020-03-30"
4279,"[542864, 542859, 12, 542861]","2020-04-05, 2020-04-07"
4279,"[543644, 543643, 12, 543647]","2020-04-09, 2020-04-10, 2020-04-16, 2020-04-20, 2020-04-21, 2020-05-06, 2020-05-09, 2020-05-15, 2020-05-19, 2020-05-21, 2020-05-29, 2020-05-30, 2020-06-15, 2020-06-19"
2427,"[104291, 12, 550141, 438222]","2020-04-25, 2020-04-26"
1867,"[537921, 399545, 12, 401165]","2020-04-27, 2020-05-18"
2427,"[507689, 104291, 12, 438222]","2020-04-29, 2020-04-30"
2427,"[547672, 104291, 12, 438222]","2020-05-02, 2020-05-05"
3543,"[54690, 478835, 12, 435005]","2020-05-08, 2020-05-21"
2237,"[442387, 12, 235534, 235071]","2020-05-30, 2020-10-03"
3379,"[426545, 548555, 12, 543231]","2020-06-02, 2020-06-04"
983,"[49842, 186091, 12, 95599]","2020-06-04, 2020-07-07"
4936,"[529705, 12, 560501, 7807]","2020-06-11, 2020-11-11"
3874,"[454671, 12, 532757, 495940]","2020-06-19, 2020-07-01"
2922,"[463760, 568738, 12, 462062]","2020-06-22, 2020-06-24"
1486,"[430087, 12, 446990, 158335]","2020-06-27, 2020-07-31"
3774,"[174540, 12, 151661, 559447]","2020-07-03, 2020-08-05"
3631,"[538393, 538330, 537483, 507002]","2020-07-16, 2021-01-14"
4279,"[568520, 12, 568525, 568527]","2020-07-28, 2020-07-29"
4974,"[473201, 582571, 12, 583407]","2020-09-21, 2020-12-02"
6049,"[417498, 609779, 558378, 609786]","2020-09-25, 2020-09-28"
6458,"[678057, 540531, 12, 677743]","2020-10-20, 2020-10-21, 2020-10-22, 2020-10-26, 2020-10-29, 2020-11-04, 2020-11-29, 2020-12-24, 2020-12-28, 2021-01-05, 2021-02-02, 2021-02-18, 2021-03-10, 2021-03-11, 2021-03-29, 2021-04-19, 2021-05-02, 2021-05-05, 2021-05-14, 2021-05-31, 2021-06-02, 2021-08-03, 2021-08-11, 2021-08-12, 2021-08-30, 2021-09-03, 2021-09-16, 2021-09-22, 2021-09-23, 2021-10-08, 2021-10-20, 2021-10-27, 2021-11-15, 2021-11-24, 2021-11-29, 2021-12-16, 2022-01-24, 2022-01-25, 2022-03-08, 2022-04-22, 2022-05-16, 2022-06-23, 2022-10-19, 2022-10-31, 2022-11-05, 2023-02-02, 2023-02-07, 2023-02-09, 2023-02-10, 2023-02-21, 2023-02-28, 2023-03-23, 2023-04-13, 2023-04-14, 2023-04-26, 2023-05-04, 2023-05-08, 2023-05-22, 2023-05-24, 2023-06-09, 2023-06-13, 2023-06-16, 2023-06-21, 2023-07-11, 2023-08-14"
1743,"[681393, 679050, 12, 679052]","2020-10-26, 2020-10-27"
1049,"[12, 190452, 175805, 543301]","2020-11-18, 2020-11-19, 2020-11-25, 2020-11-26, 2020-11-27, 2020-12-29, 2020-12-30"
4713,"[572576, 550796, 12, 436006]","2020-11-18, 2020-11-22"
2191,"[95249, 12, 531693, 428686]","2020-11-20, 2020-12-10, 2021-01-12, 2021-01-13"
6557,"[690600, 690738, 690549, 680190]","2020-11-21, 2020-11-25"
669,"[192200, 108217, 12, 94729]","2020-11-29, 2020-12-02"
2916,"[461684, 550801, 12, 461686]","2020-12-01, 2020-12-04"
6458,"[692145, 692146, 12, 691054]","2020-12-04, 2020-12-31, 2021-01-09, 2021-01-25, 2021-02-01, 2021-02-26, 2021-02-27, 2021-04-10, 2021-05-03, 2021-05-15, 2021-05-16, 2021-07-05, 2021-07-06, 2021-08-01, 2021-09-14, 2022-04-02"
7424,"[717120, 148851, 12, 717439]","2021-01-05, 2021-01-06"
6458,"[708872, 708859, 12, 709083]","2021-01-12, 2021-03-03"
