Token,Nodes,Dates
84,"(71534, 71540, 71679, 72207)","2018-04-12, 2018-04-13"
186,"(74467, 74468, 74469, 74471)","2018-03-20, 2018-03-22"
271,"(12, 72997, 73278, 73300)","2018-03-05, 2018-03-28"
270,"(12, 69791, 72966, 73667)","2018-03-16, 2018-03-17"
270,"(64668, 70956, 72966, 73667)","2018-03-26, 2018-04-02"
365,"(12, 53498, 81491, 81499)","2018-03-22, 2018-03-24"
281,"(12, 6659, 75021, 75076)","2018-05-02, 2018-05-18"
420,"(12, 86532, 86533, 86647)","2018-04-19, 2018-04-21"
468,"(12, 85037, 90137, 90142)","2018-05-12, 2018-05-13"
266,"(7162, 14278, 72547, 447594)","2020-03-10, 2020-03-13"
424,"(12, 86397, 105896, 112170)","2018-09-20, 2018-09-25"
424,"(12, 75724, 86397, 228405)","2019-05-28, 2019-06-07"
485,"(12, 8681, 92120, 92582)","2018-06-06, 2018-06-07"
442,"(12, 88157, 88639, 94340)","2018-06-14, 2018-06-15, 2018-06-18, 2018-06-19, 2018-06-20, 2018-06-21, 2018-06-22, 2018-06-25, 2018-06-27, 2018-06-29, 2018-06-30, 2018-07-01, 2018-07-02, 2018-07-03, 2018-07-04, 2018-07-05, 2018-07-06, 2018-07-07, 2018-07-08, 2018-07-09, 2018-07-10, 2018-07-11, 2018-07-12, 2018-07-13, 2018-07-14, 2018-07-15, 2018-07-16, 2018-07-17, 2018-07-18, 2018-07-19, 2018-07-20, 2018-07-21, 2018-07-22, 2018-07-23, 2018-07-24, 2018-07-25, 2018-07-26, 2018-07-27, 2018-07-28, 2018-07-29, 2018-07-30, 2018-07-31, 2018-08-01, 2018-08-02, 2018-08-03, 2018-08-04, 2018-08-11, 2018-08-12, 2018-08-13, 2018-08-14, 2018-08-15, 2018-08-16, 2018-08-17, 2018-08-22, 2018-08-23, 2018-08-24, 2018-08-25, 2018-08-26, 2018-08-27, 2018-08-28, 2018-08-29, 2018-08-30, 2018-08-31"
633,"(12, 105153, 105322, 171320)","2019-01-01, 2019-01-28, 2019-04-25, 2019-05-08, 2019-05-24, 2019-05-26"
633,"(12, 105153, 105322, 106132)","2019-05-31, 2019-06-01"
642,"(12, 105723, 105724, 107678)","2018-09-17, 2018-09-20"
669,"(12, 94729, 108217, 192200)","2020-11-29, 2020-12-02"
657,"(12, 107046, 107212, 164951)","2019-01-16, 2019-01-17, 2019-03-20, 2019-04-04, 2019-04-09, 2019-04-14, 2019-04-27, 2019-05-14, 2019-05-28"
657,"(12, 107046, 107212, 179470)","2019-01-28, 2019-03-23"
657,"(12, 107046, 107212, 168348)","2019-02-15, 2019-03-28"
657,"(12, 107046, 107212, 169246)","2019-03-03, 2019-03-05, 2019-03-21"
657,"(12, 107046, 107212, 168067)","2019-04-07, 2019-05-26, 2019-05-30"
657,"(12, 107046, 107212, 225083)","2019-04-17, 2019-04-19"
657,"(12, 107046, 107212, 162103)","2019-04-28, 2019-04-30, 2019-05-04"
657,"(12, 107046, 107212, 161819)","2019-05-13, 2019-05-20, 2019-05-21"
657,"(12, 107046, 107212, 390369)","2019-05-25, 2019-05-31"
657,"(12, 107046, 581350, 761900)","2021-05-03, 2021-05-08, 2021-06-08"
689,"(12, 109362, 109664, 111429)","2018-09-11, 2018-09-15"
689,"(12, 35943, 109362, 156599)","2018-10-15, 2018-10-17"
763,"(12, 155668, 155669, 155714)","2018-09-28, 2018-09-30"
766,"(12, 155947, 155948, 156250)","2018-10-02, 2018-12-16"
766,"(12, 155714, 155947, 155948)","2018-10-22, 2018-11-17"
829,"(162512, 162516, 225422, 500074)","2020-03-27, 2020-04-01"
925,"(12, 71471, 76023, 168792)","2018-11-27, 2018-11-30, 2018-12-04"
824,"(106724, 162228, 162229, 168451)","2018-11-30, 2018-12-13"
824,"(106719, 106729, 162228, 162229)","2018-12-28, 2019-01-12"
824,"(106724, 107678, 162228, 162229)","2019-01-03, 2019-01-10"
870,"(103193, 557332, 711871, 2986028)","2022-03-03, 2022-03-08"
983,"(12, 49842, 95599, 186091)","2020-06-04, 2020-07-07"
1081,"(12, 44707, 104540, 179461)","2019-01-30, 2019-02-09"
1081,"(12, 179461, 183148, 187078)","2019-02-08, 2019-02-14"
1081,"(12, 179461, 183148, 395139)","2019-07-13, 2019-08-24"
1081,"(12, 395139, 440045, 441862)","2019-10-16, 2019-10-17, 2019-10-18, 2019-10-21, 2019-10-25"
1049,"(12, 175805, 190452, 543301)","2020-11-18, 2020-11-19, 2020-11-25, 2020-11-26, 2020-11-27, 2020-12-29, 2020-12-30"
1061,"(12, 186449, 752718, 821538)","2021-03-24, 2021-03-25"
1017,"(12, 108605, 162244, 174559)","2019-05-02, 2019-05-26"
1017,"(12, 105464, 109104, 174559)","2019-09-01, 2019-10-10"
936,"(12, 169159, 169189, 170485)","2019-06-08, 2019-07-24"
1012,"(12, 177455, 184299, 184300)","2019-01-27, 2019-01-30"
1012,"(12, 178442, 184300, 188203)","2019-04-01, 2019-04-18"
1398,"(207870, 207872, 208774, 209646)","2019-03-29, 2019-04-05, 2019-04-21, 2019-04-23"
1398,"(207870, 207872, 208774, 231050)","2019-05-01, 2019-05-02, 2019-05-14"
1398,"(207870, 207872, 208774, 354424)","2019-05-22, 2019-05-27"
1398,"(207870, 207872, 208774, 216480)","2019-05-30, 2019-06-02, 2019-06-03, 2019-06-08"
1334,"(12, 195016, 200293, 234117)","2019-07-12, 2019-11-13"
1430,"(12, 211233, 211431, 215963)","2019-04-15, 2020-04-16"
1430,"(12, 211178, 211440, 215963)","2019-06-05, 2019-08-09, 2019-10-18"
1430,"(12, 211178, 211431, 215963)","2019-06-18, 2020-01-22"
1486,"(12, 158335, 430087, 446990)","2020-06-27, 2020-07-31"
1453,"(3389977, 3599665, 4660337, 4919955)","2023-04-24, 2023-05-23, 2023-07-10"
1453,"(3367118, 3599665, 4660337, 4919955)","2023-06-12, 2023-09-11"
1453,"(3376745, 3599665, 4660337, 6830735)","2023-09-20, 2023-09-25"
1320,"(12, 191392, 192447, 231896)","2019-05-03, 2019-05-13"
1577,"(12, 9318, 73703, 392622)","2019-06-24, 2019-06-25"
1577,"(189157, 237164, 392622, 401884)","2019-08-14, 2019-08-16"
1577,"(12, 232475, 392622, 401884)","2019-08-22, 2019-10-04"
1577,"(12, 83644, 392622, 401884)","2019-09-06, 2019-09-13"
1577,"(392622, 401884, 402987, 411318)","2019-09-20, 2019-09-24, 2019-10-08, 2019-10-16, 2019-10-17, 2019-10-20, 2019-10-22"
1577,"(12, 9318, 392622, 401884)","2019-10-14, 2019-11-11"
1577,"(392622, 401884, 402987, 411317)","2019-10-29, 2019-11-09"
1577,"(12, 232475, 237164, 394945)","2019-12-26, 2019-12-27"
1743,"(12, 392374, 392391, 392552)","2019-06-17, 2019-06-19, 2019-06-20"
1743,"(12, 401419, 407595, 410672)","2019-09-12, 2019-09-13, 2019-09-27"
1743,"(12, 679050, 679052, 681393)","2020-10-26, 2020-10-27"
1322,"(12, 192447, 395983, 396001)","2019-06-11, 2019-06-12"
1716,"(12, 235177, 402016, 402826)","2019-07-02, 2019-07-03"
1733,"(12, 394968, 397858, 406248)","2019-08-20, 2019-09-03"
1867,"(12, 399545, 401165, 537921)","2020-04-27, 2020-05-18"
1921,"(12, 237144, 237893, 403079)","2019-07-06, 2019-07-10"
1955,"(12, 102083, 406087, 526560)","2020-03-03, 2020-03-29"
1961,"(12, 237144, 408049, 408056)","2019-08-01, 2019-08-08"
1934,"(98208, 399010, 412314, 417937)","2019-08-06, 2019-08-07"
2040,"(12, 412257, 412258, 420615)","2019-09-13, 2019-09-26"
2144,"(12, 28194, 201261, 424678)","2019-10-18, 2019-11-28, 2020-02-20"
2144,"(12, 26309, 201261, 424678)","2019-10-27, 2020-03-12"
2144,"(12, 26309, 424678, 548654)","2020-04-23, 2020-04-25"
2191,"(12, 95249, 428686, 531693)","2020-11-20, 2020-12-10, 2021-01-12, 2021-01-13"
2315,"(12, 152615, 186833, 428187)","2019-09-20, 2019-09-21"
2237,"(12, 235071, 235534, 442387)","2020-05-30, 2020-10-03"
2507,"(12, 84272, 108680, 187637)","2020-02-07, 2020-02-13"
2512,"(12, 90691, 442352, 446709)","2020-01-15, 2020-02-23"
2554,"(12, 448842, 449509, 504753)","2020-02-13, 2020-02-14"
2468,"(393685, 405732, 429508, 529691)","2020-05-13, 2020-05-15"
2731,"(12, 186463, 226129, 454986)","2019-11-29, 2019-12-02"
2787,"(12, 456483, 456492, 458920)","2019-12-17, 2019-12-27"
2858,"(199472, 846801, 6416314, 7264661)","2023-10-27, 2023-10-30"
2935,"(12, 417663, 456063, 462305)","2019-12-19, 2019-12-22"
2922,"(12, 462062, 463760, 568738)","2020-06-22, 2020-06-24"
3037,"(12, 1238, 71758, 455103)","2020-01-18, 2020-01-19"
3050,"(12, 154960, 465989, 474986)","2020-02-16, 2020-02-23"
3224,"(12, 150991, 425456, 467877)","2020-02-18, 2020-04-11"
2427,"(12, 104291, 438222, 550141)","2020-04-25, 2020-04-26"
2427,"(12, 104291, 438222, 507689)","2020-04-29, 2020-04-30"
2427,"(12, 104291, 438222, 547672)","2020-05-02, 2020-05-05"
3631,"(507002, 537483, 538330, 538393)","2020-07-16, 2021-01-14"
3379,"(12, 417633, 417634, 426545)","2020-03-27, 2020-03-30"
3379,"(12, 426545, 543231, 548555)","2020-06-02, 2020-06-04"
3863,"(12, 206748, 434797, 443047)","2020-03-09, 2020-03-30"
3863,"(12, 216812, 544614, 901167)","2021-06-01, 2021-07-01"
3863,"(12, 216812, 235663, 901167)","2021-07-04, 2021-07-07"
3874,"(12, 454671, 495940, 532757)","2020-06-19, 2020-07-01"
4279,"(12, 542859, 542861, 542864)","2020-04-05, 2020-04-07"
4279,"(12, 543643, 543644, 543647)","2020-04-09, 2020-04-10, 2020-04-16, 2020-04-20, 2020-04-21, 2020-05-06, 2020-05-09, 2020-05-15, 2020-05-19, 2020-05-21, 2020-05-29, 2020-05-30, 2020-06-15, 2020-06-19"
4279,"(12, 568520, 568525, 568527)","2020-07-28, 2020-07-29"
4126,"(12, 538622, 540989, 545556)","2020-04-15, 2020-04-16"
3774,"(12, 151661, 174540, 559447)","2020-07-03, 2020-08-05"
3543,"(12, 54690, 435005, 478835)","2020-05-08, 2020-05-21"
4713,"(12, 436006, 550796, 572576)","2020-11-18, 2020-11-22"
4936,"(12, 7807, 529705, 560501)","2020-06-11, 2020-11-11"
4974,"(12, 473201, 582571, 583407)","2020-09-21, 2020-12-02"
5829,"(12, 538622, 540989, 545556)","2020-08-26, 2020-08-28"
2916,"(12, 461684, 461686, 550801)","2020-12-01, 2020-12-04"
2916,"(12, 445546, 461684, 461686)","2021-04-25, 2021-06-17, 2021-07-01, 2021-07-08"
2916,"(12, 461684, 461686, 597021)","2021-05-31, 2021-06-10"
2916,"(12, 461684, 461686, 462100)","2021-06-08, 2021-06-28"
2916,"(12, 95049, 461684, 461686)","2021-06-20, 2021-06-27"
5887,"(903088, 904340, 4660337, 4919955)","2022-12-16, 2023-01-22, 2023-02-13"
6049,"(417498, 558378, 609779, 609786)","2020-09-25, 2020-09-28"
6458,"(12, 540531, 677743, 678057)","2020-10-20, 2020-10-21, 2020-10-22, 2020-10-26, 2020-10-29, 2020-11-04, 2020-11-29, 2020-12-24, 2020-12-28, 2021-01-05, 2021-02-02, 2021-02-18, 2021-03-10, 2021-03-11, 2021-03-29, 2021-04-19, 2021-05-02, 2021-05-05, 2021-05-14, 2021-05-31, 2021-06-02, 2021-08-03, 2021-08-11, 2021-08-12, 2021-08-30, 2021-09-03, 2021-09-16, 2021-09-22, 2021-09-23, 2021-10-08, 2021-10-20, 2021-10-27, 2021-11-15, 2021-11-24, 2021-11-29, 2021-12-16, 2022-01-24, 2022-01-25, 2022-03-08, 2022-04-22, 2022-05-16, 2022-06-23, 2022-10-19, 2022-10-31, 2022-11-05, 2023-02-02, 2023-02-07, 2023-02-09, 2023-02-10, 2023-02-21, 2023-02-28, 2023-03-23, 2023-04-13, 2023-04-14, 2023-04-26, 2023-05-04, 2023-05-08, 2023-05-22, 2023-05-24, 2023-06-09, 2023-06-13, 2023-06-16, 2023-06-21, 2023-07-11, 2023-08-14"
6458,"(12, 691054, 692145, 692146)","2020-12-04, 2020-12-31, 2021-01-09, 2021-01-25, 2021-02-01, 2021-02-26, 2021-02-27, 2021-04-10, 2021-05-03, 2021-05-15, 2021-05-16, 2021-07-05, 2021-07-06, 2021-08-01, 2021-09-14, 2022-04-02"
6458,"(12, 708859, 708872, 709083)","2021-01-12, 2021-03-03"
6458,"(12, 717995, 718355, 718356)","2021-02-17, 2022-11-02, 2022-12-07, 2022-12-21, 2023-01-06"
6458,"(12, 714916, 714917, 714919)","2021-02-22, 2021-03-12"
6458,"(12, 705290, 709448, 711634)","2021-02-24, 2021-03-09, 2021-04-04, 2021-08-04, 2021-09-08, 2021-09-10, 2022-03-17, 2022-07-08, 2022-11-29, 2022-12-06, 2022-12-08, 2022-12-23, 2023-01-07, 2023-01-16, 2023-01-19, 2023-02-22, 2023-03-01, 2023-03-21, 2023-04-05, 2023-04-27, 2023-04-28, 2023-05-12, 2023-06-07, 2023-06-15, 2023-06-20, 2023-06-26, 2023-06-29, 2023-07-25, 2023-08-21, 2023-09-01, 2023-09-07, 2023-09-08, 2023-09-15, 2023-09-26, 2023-10-06, 2023-10-13, 2023-10-17, 2023-10-19, 2023-10-26, 2023-11-24"
6458,"(12, 956245, 958854, 960449)","2021-06-05, 2021-12-12"
6458,"(12, 714919, 994151, 994593)","2021-09-26, 2022-01-16"
6458,"(12, 2807229, 3160872, 3161292)","2022-04-23, 2022-12-27, 2023-01-02, 2023-04-02, 2023-05-18"
6386,"(12, 562908, 563911, 606735)","2020-10-20, 2020-10-22"
6557,"(680190, 690549, 690600, 690738)","2020-11-21, 2020-11-25"
6839,"(12, 592058, 606024, 870145)","2021-05-11, 2021-08-26"
6839,"(12, 592058, 606024, 811030)","2021-05-13, 2021-08-23"
5947,"(12, 604079, 764811, 832870)","2021-04-07, 2021-04-08"
5947,"(12, 604079, 625293, 626156)","2021-07-23, 2021-07-25"
5947,"(12, 604079, 1458898, 1459395)","2021-09-25, 2021-09-29"
6038,"(618926, 625557, 699730, 1358088)","2021-09-10, 2022-01-31"
7056,"(677620, 699610, 699837, 746257)","2021-06-20, 2021-08-26"
7424,"(12, 148851, 717120, 717439)","2021-01-05, 2021-01-06"
5989,"(12, 159416, 766863, 2247967)","2022-02-02, 2022-02-03"
7804,"(12, 868160, 1017369, 1654549)","2021-10-23, 2021-10-25"
7725,"(732662, 745373, 843122, 881449)","2021-04-28, 2021-04-29"
8600,"(800064, 888941, 1019214, 1051142)","2021-07-24, 2021-07-25"
7586,"(12, 717193, 981694, 1021692)","2021-07-09, 2021-08-06"
8972,"(12, 861903, 884504, 888631)","2021-06-12, 2021-07-04"
8683,"(12, 583270, 720245, 869824)","2021-04-16, 2021-04-17, 2021-05-06"
8300,"(1700208, 2177618, 2774611, 4852568)","2023-04-18, 2023-05-02, 2023-07-04, 2023-08-07"
8331,"(12, 742389, 745418, 850129)","2021-04-19, 2021-04-21"
9615,"(12, 951543, 951686, 968365)","2021-10-31, 2021-11-01, 2021-11-14"
10058,"(12, 924892, 952953, 953046)","2021-06-01, 2021-07-29"
8062,"(770301, 770547, 796202, 1199315)","2022-01-04, 2022-01-16"
10337,"(923869, 923870, 1172928, 1172959)","2021-08-22, 2021-12-18"
10631,"(12, 990900, 1024342, 1052551)","2021-07-21, 2021-07-24"
11324,"(12, 902968, 1036049, 1041390)","2021-07-16, 2021-07-22, 2021-07-28, 2021-07-30, 2021-08-11"
11324,"(12, 1036049, 1057504, 1077037)","2021-08-17, 2021-08-28"
11275,"(1960359, 2728547, 2904937, 3107779)","2022-04-05, 2022-04-11, 2022-04-14"
11519,"(937902, 938342, 951771, 1062145)","2021-07-26, 2021-08-11"
11133,"(12, 95295, 1019387, 1055251)","2021-08-16, 2021-08-26, 2021-08-31"
7475,"(12, 716191, 933709, 1070736)","2021-08-27, 2021-09-17, 2021-10-01"
10749,"(12, 427886, 1055913, 1073904)","2021-07-30, 2021-07-31, 2021-08-01, 2021-08-02"
12254,"(12, 836663, 1109194, 1109196)","2021-08-09, 2021-08-22"
12254,"(12, 1762, 1109194, 1109196)","2021-08-19, 2021-12-29, 2022-03-01"
12254,"(12, 1091049, 1109194, 1109196)","2021-08-24, 2021-09-17"
12254,"(12, 1109194, 1109196, 1188709)","2021-08-28, 2021-10-22"
12254,"(12, 1109194, 1109196, 1278483)","2021-09-18, 2021-09-19, 2021-10-01"
12254,"(12, 1109194, 1109196, 1351226)","2021-09-20, 2021-09-22"
12254,"(12, 688677, 1109194, 1109196)","2021-09-28, 2021-12-10"
12254,"(12, 747359, 1109194, 1109196)","2021-10-04, 2021-10-17, 2021-10-19, 2021-11-11, 2021-11-19, 2021-11-22, 2021-12-18, 2022-01-17, 2022-08-03"
