Date,Token,Nodes
2018-06-01,381,"[91082, 83229, 82476, 88364, 88623, 92208, 88367, 88368, 88369, 88628, 88370, 82741, 88374, 90168, 88376, 88377, 88379, 88380, 88640, 86336, 83778, 88388, 82501, 88390, 87624, 88392, 88393, 87627, 88395, 89678, 92495, 88399, 82513, 88401, 92243, 88412, 88414, 88416, 88417, 88418, 86880, 88420, 92517, 88421, 88423, 88427, 83053, 88430, 88434, 1669, 84617, 88462, 92563, 84118, 85973, 88489, 88518, 86486, 84161, 82882, 82627, 83139, 84678, 85703, 82630, 87752, 82631, 87750, 87753, 87751, 87754, 87755, 87756, 87757, 87758, 87759, 87763, 87762, 87765, 87766, 87764, 87768, 87761, 87770, 87771, 87767, 87773, 87774, 87775, 87776, 88538, 87786, 88558, 88561, 88562, 88532, 88564, 88566, 87287, 88533]"
2018-08-15,381,"[101639, 105739, 105741, 93454, 90127, 83229, 83486, 102942, 101662, 101926, 82728, 101672, 102958, 94513, 100404, 86068, 93238, 102967, 82744, 82746, 93244, 83778, 100419, 105539, 87624, 87625, 93512, 94537, 93772, 102732, 94541, 93531, 93789, 93533, 86880, 88174, 105591, 94074, 93649, 100485, 84617, 99473, 105873, 87751, 101274, 104859, 104390, 93145, 104354, 105388, 93361, 94133, 94134, 86486, 101568, 82627, 87750, 85703, 84678, 87752, 87753, 82631, 87755, 87756, 87757, 82630, 87754, 87759, 87760, 87762, 87763, 93909, 87758, 87764, 87766, 87761, 87768, 87770, 87771, 87765, 87767, 87774, 87772, 87777, 87773, 87775, 87776, 87778, 84198, 87779, 87780, 100073, 87786, 87787, 100326, 95469, 102129, 87287, 93691, 97790]"
2018-08-20,641,"[105985, 4618, 105740, 106255, 105743, 106001, 106514, 65042, 106002, 105746, 106259, 106261, 104728, 83481, 106009, 85531, 102430, 43039, 106534, 61745, 44594, 105526, 106047, 105793, 106565, 74312, 106056, 105548, 105549, 105551, 106064, 105552, 106066, 106067, 105556, 105557, 85072, 105809, 105810, 105561, 105811, 106075, 105563, 106082, 105584, 106096, 104824, 106364, 105854, 106626, 78470, 106375, 105876, 105877, 101526, 106392, 7321, 106396, 106142, 105886, 98208, 105890, 3237, 105894, 93608, 105645, 106414, 4017, 49842, 105906, 91059, 10425, 3776, 97989, 105925, 48587, 87245, 70094, 105681, 105938, 13523, 105686, 106454, 105943, 105944, 80857, 106459, 105699, 105700, 106236, 106469, 105957, 70120, 89835, 4334, 1011, 105716, 106486, 105722, 90364]"
2018-09-24,641,"[107009, 109320, 107261, 105743, 105746, 106259, 106261, 106009, 1053, 22303, 44594, 107315, 106549, 105526, 107317, 106806, 152633, 112444, 106047, 74312, 153416, 46154, 105548, 105552, 106833, 106835, 102996, 111450, 105563, 107612, 106846, 111199, 87906, 153703, 105576, 152684, 107629, 106096, 107892, 110198, 111480, 94331, 13953, 2184, 153995, 98956, 90765, 105868, 153235, 154007, 105886, 108703, 112030, 98208, 105634, 107683, 150178, 67999, 8609, 105891, 103331, 154016, 154019, 13483, 1447, 109741, 106414, 11182, 93874, 10425, 107705, 93888, 111809, 107202, 106696, 153033, 112331, 48587, 87245, 105686, 106454, 153816, 112344, 80857, 88801, 23523, 107748, 106469, 71399, 31719, 21227, 89835, 111085, 107759, 111088, 111093, 106486, 111095, 108537, 106749]"
2019-01-03,746,"[179968, 156931, 164357, 180487, 158732, 156428, 84495, 70417, 151827, 156436, 180758, 152856, 169753, 169244, 161566, 170528, 104480, 180004, 171300, 91688, 95529, 177708, 111148, 161581, 177455, 109618, 104499, 88630, 179002, 106306, 169559, 76376, 94042, 175454, 88159, 169571, 151654, 75110, 104552, 171128, 174969, 179066, 148603, 174972, 167550, 180611, 109448, 169353, 62090, 167051, 178316, 177805, 180625, 169620, 102292, 180634, 153498, 176287, 170401, 105378, 107937, 175521, 169641, 153003, 176300, 180653, 11182, 180656, 154545, 105394, 169653, 180152, 93881, 106426, 169659, 170429, 169411, 90566, 180679, 169418, 155341, 169678, 150990, 180687, 180690, 179154, 51670, 153047, 89305, 169692, 175070, 153313, 180708, 153829, 151014, 153582, 164339, 104435, 180730, 180475]"
2019-01-18,858,"[185088, 185089, 185091, 185092, 185093, 185094, 185095, 185096, 185100, 185101, 106253, 185103, 185105, 185106, 185107, 185108, 185109, 185110, 185111, 185112, 185113, 185115, 171292, 185116, 185117, 185118, 185119, 185120, 166177, 185121, 185122, 185123, 185124, 185126, 185127, 185128, 181545, 185129, 185131, 106284, 185137, 185139, 185140, 185141, 185142, 185143, 185144, 185145, 185146, 185148, 185149, 185150, 185151, 185152, 185153, 185154, 185155, 185157, 185160, 185161, 185163, 185167, 185168, 185169, 185170, 185171, 185173, 185174, 185175, 185176, 185177, 185179, 185181, 185183, 185184, 171171, 171174, 171175, 171432, 171433, 171178, 171181, 171190, 171192, 171198, 171202, 171204, 171206, 159203, 159216, 159217, 159222, 185080, 185081, 185082, 185083, 185084, 185085, 185086, 185087]"
2019-02-01,666,"[2818, 170499, 156934, 108808, 187401, 111882, 183307, 109580, 156428, 109071, 151314, 187674, 156187, 169244, 166173, 187680, 153122, 187682, 187683, 112420, 109611, 112172, 171307, 109614, 169778, 109620, 187445, 88630, 111161, 181051, 156475, 187458, 109892, 156229, 4934, 186439, 156233, 162889, 154955, 95308, 95309, 187725, 94031, 161367, 108634, 175965, 187233, 186978, 187749, 163686, 148840, 165233, 106098, 155763, 156532, 187764, 187768, 187770, 156029, 158846, 158847, 158848, 87682, 187779, 26501, 187783, 151180, 131724, 67217, 93845, 104598, 107928, 63642, 107932, 160927, 170911, 104353, 185507, 183715, 62885, 185510, 91050, 178603, 168367, 187321, 104379, 102846, 174783, 2514, 171219, 155363, 110307, 110563, 109801, 111854, 165103, 158964, 109046, 187639, 162811]"
2019-02-16,1002,"[178433, 108809, 84495, 70417, 152596, 188949, 151830, 185880, 169753, 1052, 169244, 189725, 89887, 156449, 190501, 102181, 95529, 188714, 188462, 182833, 182837, 188982, 188220, 108860, 186172, 190527, 108616, 182856, 183884, 168274, 190548, 190293, 185944, 186200, 94042, 179038, 175711, 179556, 107877, 190310, 168807, 171112, 99178, 185710, 188015, 157039, 190579, 182388, 164727, 190586, 187774, 190344, 174735, 186000, 82069, 155800, 169634, 184227, 185766, 185768, 190378, 186539, 190382, 169648, 170160, 154545, 181171, 169652, 187573, 188344, 174777, 169659, 190401, 185795, 184014, 190159, 158927, 190158, 178130, 180690, 177876, 186325, 189917, 155872, 169696, 189920, 153827, 169699, 186851, 185829, 180460, 186605, 186606, 174572, 153582, 179182, 190451, 190457, 170234, 182523]"
2019-03-04,746,"[152581, 184070, 188166, 188171, 158732, 188173, 188174, 188177, 188178, 188180, 188182, 188183, 151830, 188186, 187931, 188955, 1053, 192542, 187934, 187933, 153632, 187938, 187939, 186916, 190501, 187942, 188190, 182049, 161570, 89131, 188460, 186672, 84273, 193331, 88630, 191799, 186940, 179520, 193345, 157000, 176202, 193359, 192853, 170584, 193368, 186200, 190815, 178272, 170854, 175724, 177518, 105592, 169592, 148603, 190078, 188187, 187011, 176004, 189062, 169353, 157065, 169620, 109209, 150948, 186539, 171436, 169390, 93874, 183735, 156601, 184508, 82366, 181183, 97989, 190917, 153799, 188106, 169419, 180941, 170702, 188110, 185552, 150989, 188114, 180947, 190418, 51670, 188119, 180440, 188121, 188122, 188123, 188125, 151014, 187114, 21227, 164339, 188148, 188150, 182523]"
2019-03-29,484,"[200195, 197125, 207112, 200969, 84495, 208912, 92181, 193814, 74264, 207646, 207906, 210473, 210474, 95529, 193068, 193322, 193328, 193842, 194872, 193340, 207165, 193341, 156737, 92228, 192327, 194378, 193105, 164947, 193363, 165205, 193114, 193372, 201564, 190314, 104301, 105072, 206192, 196978, 193140, 94069, 192123, 170108, 200059, 106876, 192644, 200324, 210569, 90765, 112122, 155539, 102292, 207767, 193432, 204700, 210589, 109726, 95904, 193441, 150948, 210599, 81321, 206761, 171182, 170166, 93879, 72187, 93881, 192442, 210874, 92092, 92093, 197567, 184255, 102083, 198085, 193223, 210887, 155338, 188874, 196816, 109776, 188624, 94161, 193238, 187863, 185569, 197863, 175847, 155880, 210665, 210669, 170989, 191984, 209650, 200436, 197108, 200692, 194298, 194043, 98046]"
