Token,Nodes,Smart_Contract_Flags,Dates
381,"(1669, 82476, 82501, 82513, 82627, 82630, 82631, 82741, 82882, 83053, 83139, 83229, 83778, 84118, 84161, 84617, 84678, 85703, 85973, 86336, 86486, 86880, 87287, 87624, 87627, 87750, 87751, 87752, 87753, 87754, 87755, 87756, 87757, 87758, 87759, 87761, 87762, 87763, 87764, 87765, 87766, 87767, 87768, 87770, 87771, 87773, 87774, 87775, 87776, 87786, 88364, 88367, 88368, 88369, 88370, 88374, 88376, 88377, 88379, 88380, 88388, 88390, 88392, 88393, 88395, 88399, 88401, 88412, 88414, 88416, 88417, 88418, 88420, 88421, 88423, 88427, 88430, 88434, 88462, 88489, 88518, 88532, 88533, 88538, 88558, 88561, 88562, 88564, 88566, 88623, 88628, 88640, 89678, 90168, 91082, 92208, 92243, 92495, 92517, 92563)","(0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2018-06-01
381,"(82627, 82630, 82631, 82728, 82744, 82746, 83229, 83486, 83778, 84198, 84617, 84678, 85703, 86068, 86486, 86880, 87287, 87624, 87625, 87750, 87751, 87752, 87753, 87754, 87755, 87756, 87757, 87758, 87759, 87760, 87761, 87762, 87763, 87764, 87765, 87766, 87767, 87768, 87770, 87771, 87772, 87773, 87774, 87775, 87776, 87777, 87778, 87779, 87780, 87786, 87787, 88174, 90127, 93145, 93238, 93244, 93361, 93454, 93512, 93531, 93533, 93649, 93691, 93772, 93789, 93909, 94074, 94133, 94134, 94513, 94537, 94541, 95469, 97790, 99473, 100073, 100326, 100404, 100419, 100485, 101274, 101568, 101639, 101662, 101672, 101926, 102129, 102732, 102942, 102958, 102967, 104354, 104390, 104859, 105388, 105539, 105591, 105739, 105741, 105873)","(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2018-08-15
641,"(1011, 3237, 3776, 4017, 4334, 4618, 7321, 10425, 13523, 43039, 44594, 48587, 49842, 61745, 65042, 70094, 70120, 74312, 78470, 80857, 83481, 85072, 85531, 87245, 89835, 90364, 91059, 93608, 97989, 98208, 101526, 102430, 104728, 104824, 105526, 105548, 105549, 105551, 105552, 105556, 105557, 105561, 105563, 105584, 105645, 105681, 105686, 105699, 105700, 105716, 105722, 105740, 105743, 105746, 105793, 105809, 105810, 105811, 105854, 105876, 105877, 105886, 105890, 105894, 105906, 105925, 105938, 105943, 105944, 105957, 105985, 106001, 106002, 106009, 106047, 106056, 106064, 106066, 106067, 106075, 106082, 106096, 106142, 106236, 106255, 106259, 106261, 106364, 106375, 106392, 106396, 106414, 106454, 106459, 106469, 106486, 106514, 106534, 106565, 106626)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2018-08-20
641,"(1053, 1447, 2184, 8609, 10425, 11182, 13483, 13953, 21227, 22303, 23523, 31719, 44594, 46154, 48587, 67999, 71399, 74312, 80857, 87245, 87906, 88801, 89835, 90765, 93874, 93888, 94331, 98208, 98956, 102996, 103331, 105526, 105548, 105552, 105563, 105576, 105634, 105686, 105743, 105746, 105868, 105886, 105891, 106009, 106047, 106096, 106259, 106261, 106414, 106454, 106469, 106486, 106549, 106696, 106749, 106806, 106833, 106835, 106846, 107009, 107202, 107261, 107315, 107317, 107612, 107629, 107683, 107705, 107748, 107759, 107892, 108537, 108703, 109320, 109741, 110198, 111085, 111088, 111093, 111095, 111199, 111450, 111480, 111809, 112030, 112331, 112344, 112444, 150178, 152633, 152684, 153033, 153235, 153416, 153703, 153816, 153995, 154007, 154016, 154019)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2018-09-24
746,"(11182, 51670, 62090, 70417, 75110, 76376, 84495, 88159, 88630, 89305, 90566, 91688, 93881, 94042, 95529, 102292, 104435, 104480, 104499, 104552, 105378, 105394, 106306, 106426, 107937, 109448, 109618, 111148, 148603, 150990, 151014, 151654, 151827, 152856, 153003, 153047, 153313, 153498, 153582, 153829, 154545, 155341, 156428, 156436, 156931, 158732, 161566, 161581, 164339, 164357, 167051, 167550, 169244, 169353, 169411, 169418, 169559, 169571, 169620, 169641, 169653, 169659, 169678, 169692, 169753, 170401, 170429, 170528, 171128, 171300, 174969, 174972, 175070, 175454, 175521, 176287, 176300, 177455, 177708, 177805, 178316, 179002, 179066, 179154, 179968, 180004, 180152, 180475, 180487, 180611, 180625, 180634, 180653, 180656, 180679, 180687, 180690, 180708, 180730, 180758)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2019-01-03
746,"(1053, 21227, 51670, 82366, 84273, 88630, 89131, 93874, 97989, 105592, 109209, 148603, 150948, 150989, 151014, 151830, 152581, 153632, 153799, 156601, 157000, 157065, 158732, 161570, 164339, 169353, 169390, 169419, 169592, 169620, 170584, 170702, 170854, 171436, 175724, 176004, 176202, 177518, 178272, 179520, 180440, 180941, 180947, 181183, 182049, 182523, 183735, 184070, 184508, 185552, 186200, 186539, 186672, 186916, 186940, 187011, 187114, 187931, 187933, 187934, 187938, 187939, 187942, 188106, 188110, 188114, 188119, 188121, 188122, 188123, 188125, 188148, 188150, 188166, 188171, 188173, 188174, 188177, 188178, 188180, 188182, 188183, 188186, 188187, 188190, 188460, 188955, 189062, 190078, 190418, 190501, 190815, 190917, 191799, 192542, 192853, 193331, 193345, 193359, 193368)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",2019-03-04
746,"(6130, 66369, 88631, 91504, 94128, 95049, 99178, 101975, 104440, 108968, 109209, 109322, 109726, 110231, 110563, 110573, 111343, 111836, 150948, 150990, 151312, 151893, 153047, 153249, 153609, 155514, 156449, 156619, 157000, 157065, 165714, 168274, 169353, 169473, 169619, 169686, 169753, 170160, 170184, 170416, 175070, 175314, 175521, 175853, 176004, 178354, 180833, 180923, 182044, 182085, 183735, 184122, 185710, 185983, 187057, 187567, 187880, 188164, 188235, 188460, 188462, 188800, 188982, 189062, 189991, 190604, 191465, 191724, 191996, 192154, 192426, 192441, 192542, 192853, 193279, 195204, 197353, 198918, 198984, 207734, 209431, 209442, 209596, 210564, 211999, 213459, 216625, 216815, 217215, 218893, 223259, 224178, 224345, 224832, 225498, 225502, 225504, 225763, 225780, 225915)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2019-04-18
746,"(75110, 84581, 88776, 94069, 99178, 102434, 104369, 105317, 107366, 110231, 151664, 153961, 155184, 155539, 156436, 158732, 168807, 169324, 169353, 169619, 169634, 169641, 174709, 176384, 180487, 180690, 181083, 181365, 182580, 182728, 184115, 184227, 184693, 185498, 185768, 185983, 187393, 187880, 188108, 188220, 188344, 188829, 189153, 189681, 189910, 190342, 190418, 191945, 192542, 193228, 193276, 193319, 194869, 196995, 199386, 201464, 208404, 210781, 211121, 213459, 213857, 215047, 215101, 216632, 218679, 218961, 226595, 233071, 234369, 327715, 390371, 391936, 392472, 394737, 395235, 398570, 398593, 400780, 401447, 401622, 403937, 406265, 406550, 410480, 413027, 424043, 426529, 428184, 428205, 428586, 429421, 429898, 430731, 433744, 434113, 434264, 434545, 434676, 434702, 434794)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2019-09-14
746,"(72584, 88630, 99178, 110231, 111343, 152626, 153249, 153609, 155539, 155800, 156594, 158732, 169353, 169556, 169758, 170358, 171023, 171211, 171325, 175298, 178054, 180690, 181183, 182085, 182523, 185214, 185498, 185550, 185880, 186200, 186437, 186500, 187067, 187134, 187393, 188778, 189639, 189673, 189910, 190770, 191303, 191439, 191459, 191724, 191945, 192154, 192542, 193228, 193856, 194167, 195204, 199213, 207874, 208341, 209725, 210087, 210781, 210975, 213459, 214555, 216492, 218961, 222770, 226595, 227938, 228585, 229405, 230320, 231043, 233654, 237445, 327715, 390411, 391655, 401347, 402322, 407416, 408317, 410541, 411727, 413755, 414589, 415088, 418459, 424043, 424257, 424302, 425033, 426292, 426533, 426593, 426598, 429312, 430565, 434606, 434635, 434702, 434812, 435052, 435293)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2019-09-18
746,"(75110, 88776, 99178, 105317, 105378, 105592, 150989, 151664, 153965, 155341, 156561, 156619, 165222, 165714, 169324, 169353, 169619, 169638, 170358, 171023, 175325, 177580, 177698, 178272, 180487, 180690, 180923, 181183, 183222, 183307, 185214, 185250, 185530, 186131, 186271, 186656, 187223, 187372, 187888, 188344, 188842, 189581, 189639, 190344, 190786, 192154, 192227, 192542, 192731, 193051, 193262, 193856, 194180, 197446, 199213, 208316, 210781, 215101, 215915, 216720, 218670, 237445, 327715, 390348, 390394, 391655, 394121, 395897, 397174, 397255, 397266, 402303, 404014, 411727, 412407, 416653, 418383, 420435, 421344, 421346, 424257, 424741, 424895, 424896, 424897, 426533, 428184, 428780, 430118, 432424, 434022, 434275, 436000, 436250, 436578, 437147, 438044, 439664, 439755, 441577)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2019-10-15
