Date,Token,Nodes
2018-01-08,59,"[60481, 60488, 60621, 60370, 60500, 60373, 60567, 60568, 60377, 60506, 60443, 59806, 60586, 52652, 60017, 59570, 60466, 60406, 60345, 60349, 60415]"
2018-01-29,82,"[63936, 65289, 3147, 64780, 45132, 65359, 29588, 15579, 63644, 64733, 64735, 64351, 64610, 64679, 63727, 60595, 65269, 63734, 65337, 65342, 63935]"
2018-02-05,97,"[65280, 64322, 65607, 45132, 40399, 65817, 64666, 66266, 66141, 66080, 66342, 63526, 64615, 65517, 14448, 64690, 65586, 42359, 65784, 65596, 64509]"
2018-02-14,82,"[63936, 65737, 64780, 68238, 68370, 65753, 65882, 1180, 64733, 65630, 64735, 2592, 68451, 68325, 68518, 64679, 64487, 68398, 67193, 66042, 63935]"
2018-02-15,82,"[63936, 68672, 66114, 9413, 68681, 20106, 64780, 66959, 67795, 68699, 65630, 66720, 68451, 68325, 68518, 64679, 15593, 65968, 68915, 67193, 63935]"
2018-02-18,76,"[64650, 69645, 64526, 69390, 63509, 64981, 65365, 64411, 52892, 4892, 69212, 64989, 69599, 67365, 64229, 67117, 60595, 67641, 63547, 66300, 67645]"
2018-02-19,89,"[64004, 63878, 69642, 64908, 45132, 66959, 69010, 44755, 10005, 64216, 65690, 66141, 65759, 65535, 45673, 69295, 70135, 63353, 63547, 1534, 63743]"
2018-02-23,170,"[2112, 70080, 70082, 3335, 70088, 47945, 70605, 70094, 13523, 70292, 70100, 70103, 70816, 69856, 70120, 70061, 69037, 70253, 70768, 1011, 70138]"
2018-02-25,76,"[69380, 64325, 65926, 3147, 65295, 67407, 70993, 63826, 65365, 71257, 64346, 64795, 64801, 62370, 64546, 69857, 67304, 64364, 64880, 60595, 71161]"
2018-02-28,76,"[65664, 64325, 65159, 63380, 65365, 64150, 64795, 64670, 64801, 64931, 64355, 64229, 67304, 13483, 64879, 71601, 65841, 60595, 62900, 63992, 64893]"
2018-03-01,208,"[69504, 69505, 69313, 69380, 65926, 43016, 65295, 12879, 71059, 69524, 70490, 66716, 66461, 2105, 71801, 67756, 64625, 65398, 69048, 69049, 63997]"
2018-03-06,271,"[73600, 73601, 73603, 73604, 73605, 73606, 73608, 73611, 73613, 12059, 72997, 73573, 68142, 73588, 73590, 73591, 73592, 73593, 73594, 16253, 73278]"
2018-03-12,230,"[12612, 21192, 66248, 75218, 75155, 75028, 73427, 74834, 74453, 71383, 71384, 58334, 74974, 75042, 72488, 70120, 74091, 72428, 71920, 66228, 46138]"
2018-03-16,315,"[75842, 69642, 70155, 75210, 45132, 75407, 75536, 57983, 65747, 75479, 75737, 75484, 58334, 75488, 70377, 75755, 75502, 14448, 75319, 2105, 69823]"
2018-03-19,166,"[73536, 73540, 73671, 69901, 69904, 69905, 69906, 69781, 69782, 69783, 69785, 69786, 69914, 69915, 73689, 72736, 69729, 69736, 69738, 69814, 69815]"
2018-03-28,266,"[72896, 72705, 73029, 82966, 73696, 72547, 64355, 76773, 8616, 72552, 1771, 17515, 73005, 64877, 72626, 72692, 66869, 72822, 72572, 82941, 72639]"
2018-04-05,391,"[63617, 65992, 66441, 64586, 70349, 65229, 67215, 81229, 83731, 65747, 25621, 25368, 83737, 69791, 74024, 72552, 65769, 4907, 14448, 78261, 34555]"
2018-04-08,396,"[84681, 84810, 84812, 84813, 84814, 70991, 84815, 84817, 80722, 84820, 84821, 84822, 84823, 84709, 84839, 70120, 84269, 84272, 84792, 84794, 80637]"
2018-04-11,266,"[50497, 68679, 72572, 70348, 72848, 72977, 72912, 74651, 4315, 69244, 72674, 72547, 64355, 67365, 72552, 72622, 72947, 73204, 84345, 85243, 72700]"
2018-04-21,266,"[72832, 77312, 30080, 72709, 72572, 68300, 85969, 64853, 2133, 72603, 72604, 69244, 72739, 5411, 72547, 64935, 72552, 72618, 86516, 66295, 11196]"
2018-04-24,396,"[84288, 86217, 84812, 84813, 87310, 84814, 84817, 87444, 84820, 84821, 84822, 84823, 82782, 72671, 86242, 70819, 86565, 87082, 84269, 87282, 84278]"
2018-04-25,238,"[72074, 71756, 71822, 71951, 72407, 71961, 71834, 87516, 87517, 87518, 72163, 71779, 87524, 71782, 87525, 71785, 72429, 71982, 72046, 72116, 71798]"
2018-05-15,266,"[73474, 72964, 73029, 72973, 31249, 73108, 72539, 68380, 72541, 72799, 72803, 72547, 72548, 72552, 4141, 72622, 72879, 72560, 86516, 73526, 2429]"
2018-05-23,463,"[88512, 85573, 91014, 29767, 62735, 85840, 33104, 6292, 88789, 21017, 86494, 71647, 89891, 90342, 90667, 3827, 88116, 88504, 30649, 88508, 88510]"
2018-06-01,69,"[71619, 91782, 92231, 69642, 72398, 59409, 60625, 86549, 29783, 74264, 55064, 87325, 91620, 75115, 74930, 88116, 56823, 66425, 92538, 90492, 56765]"
2018-06-04,450,"[93184, 93185, 93192, 92798, 93195, 93180, 91547, 88740, 56243, 88179, 93173, 93174, 93175, 93176, 93177, 93178, 93179, 90556, 93181, 93182, 93183]"
2018-06-14,494,"[86530, 69250, 93890, 70155, 94158, 94223, 74264, 93406, 67999, 67684, 5607, 94331, 93932, 66168, 88174, 93809, 94323, 88565, 63798, 93368, 1211]"
2018-07-03,381,"[82630, 82631, 100423, 100619, 87755, 87760, 87763, 84118, 87702, 93145, 87772, 87773, 83486, 87774, 83813, 97790, 82476, 100787, 85811, 82995, 95038]"
2018-07-10,520,"[86402, 100936, 69514, 62735, 100178, 6292, 86549, 101531, 101534, 75743, 100727, 90084, 94117, 75110, 101417, 95536, 101046, 100919, 94331, 100604, 100735]"
2018-07-25,69,"[56823, 103110, 72266, 103114, 13198, 60625, 86549, 83033, 42460, 64544, 103012, 61163, 102893, 4271, 92147, 102775, 103032, 103098, 103099, 102974, 102655]"
2018-07-31,467,"[58309, 60998, 104073, 104143, 104020, 104151, 104027, 104030, 93986, 104162, 103972, 103907, 103910, 103914, 63789, 102446, 104047, 104114, 103988, 103992, 70076]"
2018-08-15,484,"[92228, 105544, 19081, 93776, 105745, 105170, 94936, 101533, 71199, 104038, 93866, 93867, 94125, 93874, 105012, 94069, 94775, 105849, 92092, 92093, 95550]"
2018-08-21,642,"[104321, 105730, 106575, 106705, 106582, 106519, 106649, 105884, 106718, 106655, 102177, 106722, 106663, 106729, 106539, 106606, 106607, 93681, 106744, 105723, 105724]"
2018-09-29,484,"[92228, 94972, 155014, 102091, 85072, 94993, 110295, 155802, 155741, 151645, 109150, 94559, 155769, 95529, 110573, 147118, 111796, 155766, 95545, 92092, 92093]"
2018-10-05,633,"[105153, 105154, 156481, 155524, 107591, 156424, 156304, 108305, 132116, 155288, 105498, 91552, 107425, 105768, 105453, 105647, 105586, 105458, 108852, 156596, 105714]"
2018-10-12,633,"[105153, 105154, 107329, 156424, 108305, 105498, 105629, 91552, 106210, 108835, 158247, 107375, 91570, 105458, 105586, 106037, 107062, 148853, 112445, 156030, 158975]"
2018-10-16,568,"[132677, 95049, 94031, 109649, 156436, 104597, 108637, 109028, 109733, 109029, 109736, 91050, 108971, 108972, 108974, 108976, 93878, 156918, 111928, 107964, 107965]"
2018-10-23,484,"[93953, 92228, 109322, 155338, 94993, 94559, 95904, 155367, 95529, 104874, 93867, 94331, 110573, 160884, 104757, 94069, 94775, 154614, 100731, 92092, 92093]"
2018-11-02,568,"[108292, 13511, 95049, 156436, 110229, 101076, 110236, 48989, 112031, 111779, 109095, 91050, 109100, 104684, 93874, 108917, 93878, 88630, 111928, 107965, 161982]"
2018-11-02,850,"[164545, 164611, 163783, 163785, 163786, 111627, 163787, 71953, 163346, 164371, 39319, 164183, 163353, 163873, 91874, 162345, 164142, 164147, 156852, 163960, 164475]"
2018-11-03,786,"[164097, 163074, 158787, 164166, 104775, 160586, 159372, 164688, 163541, 160662, 160469, 160087, 162648, 160470, 161756, 162465, 18596, 162469, 160946, 162806, 159864]"
2018-11-07,858,"[163909, 94985, 106445, 150990, 70417, 152594, 84375, 165213, 156895, 88801, 165222, 161129, 151661, 110573, 93874, 91059, 94069, 54646, 88631, 154685, 151358]"
2018-11-09,850,"[166337, 163783, 163785, 164939, 163787, 71953, 163346, 166162, 166098, 163353, 165082, 18973, 163873, 91874, 164716, 166258, 164147, 166198, 164665, 164157, 164159]"
2018-11-11,534,"[165760, 166592, 107715, 87237, 160653, 107729, 166616, 166618, 155866, 152604, 111136, 107426, 155938, 153826, 166628, 103271, 154985, 113066, 110571, 155704, 32125]"
2018-11-12,633,"[105153, 105154, 156481, 105988, 108305, 166740, 107285, 105624, 105373, 165754, 91554, 106210, 105322, 107436, 105328, 105586, 91506, 105458, 105527, 72506, 91643]"
2018-11-15,850,"[167495, 111627, 164939, 71953, 163346, 167315, 166997, 163353, 167514, 18973, 167583, 167520, 165154, 91874, 167524, 167589, 162345, 164911, 167601, 165814, 164475]"
2018-11-16,850,"[164352, 163783, 82443, 71953, 166737, 167315, 163353, 167707, 167713, 91874, 162345, 164330, 164716, 164141, 164911, 165814, 164665, 166650, 164475, 164157, 164862]"
2018-11-18,641,"[107009, 106696, 109384, 167949, 2065, 13523, 106198, 46678, 106454, 108703, 89533, 23523, 106469, 107629, 4017, 167923, 105716, 107892, 106749, 167997, 7807]"
2018-12-01,936,"[169088, 154627, 169094, 169734, 166664, 169159, 169287, 169100, 169110, 76376, 168025, 169114, 169246, 169313, 23523, 169253, 169189, 156904, 61745, 169211, 169149]"
2018-12-02,484,"[92228, 165197, 94993, 169746, 165205, 168278, 169624, 95904, 169698, 168419, 156327, 154539, 110573, 168174, 156594, 93874, 167924, 88630, 92092, 92093, 98046]"
2018-12-06,534,"[169728, 170625, 170626, 90691, 107715, 160653, 107729, 170580, 168535, 102043, 168413, 155938, 103273, 110571, 168688, 168369, 165113, 169274, 170620, 170621, 170622]"
2018-12-07,484,"[170432, 92228, 94972, 167499, 103820, 106124, 165197, 165205, 165213, 95904, 166176, 170598, 168166, 98045, 93867, 164651, 169324, 168174, 170160, 92092, 92093]"
2018-12-08,568,"[168007, 95049, 109579, 94031, 109396, 104597, 163226, 156187, 109468, 108637, 108638, 153763, 110307, 109477, 109485, 106098, 104499, 93878, 170106, 104379, 108479]"
2018-12-15,937,"[169216, 72833, 166664, 171209, 109003, 169163, 94539, 169109, 86299, 169244, 170658, 169251, 169186, 162021, 72552, 105453, 168689, 23926, 169145, 169148, 170109]"
2018-12-20,396,"[3336, 111241, 175307, 91856, 101330, 13523, 102292, 28501, 82782, 9822, 106785, 86565, 92581, 101733, 73703, 89835, 86255, 4017, 90162, 17717, 84287]"
2018-12-20,641,"[105856, 107009, 95296, 175237, 111819, 105743, 107606, 102679, 105686, 106142, 108703, 98208, 23523, 111204, 154922, 44594, 93874, 105716, 107705, 111930, 106749]"
2018-12-22,641,"[107009, 13953, 171073, 106696, 107338, 105740, 13523, 105886, 108703, 98208, 175843, 106469, 154922, 156078, 175919, 44594, 105716, 107317, 70072, 111930, 106749]"
2018-12-30,568,"[155971, 106436, 26501, 132677, 4934, 95308, 156436, 104597, 166229, 108375, 175965, 108637, 104480, 153763, 110563, 84068, 163686, 12346, 104379, 158460, 161918]"
2018-12-31,966,"[170881, 180292, 157001, 175498, 170699, 168723, 170388, 180243, 76886, 162073, 170267, 180062, 178088, 170858, 169259, 170478, 155311, 93167, 180083, 175291, 175933]"
