Token,Nodes,Dates
50,"[780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 800, 801, 802, 803, 805, 807, 808, 809, 810, 766]",2017-11-21
82,"[63936, 65665, 65600, 63558, 45132, 65553, 65682, 65620, 33302, 65432, 15579, 65692, 65630, 64543, 2592, 64351, 64679, 65575, 64487, 15593, 65641, 1002, 60205, 65583, 63727, 11377, 64755, 63734, 65599, 63935]",2018-01-31
69,"[65543, 64969, 60938, 35212, 66124, 65678, 59409, 60625, 8786, 63958, 65432, 63452, 65245, 56765, 65184, 63138, 59429, 33574, 63910, 62951, 65066, 66026, 65259, 64621, 63022, 64754, 65971, 56823, 63034, 59197]",2018-02-03
106,"[3587, 58309, 65607, 43016, 65801, 3147, 56588, 64635, 2510, 65817, 65434, 64411, 4892, 58334, 31135, 2105, 3682, 63526, 64615, 66223, 66105, 66225, 64690, 61745, 66228, 66229, 62900, 21176, 63673, 63547]",2018-02-04
164,"[69186, 70084, 69573, 43016, 69832, 69514, 2827, 70088, 69006, 69524, 69335, 69080, 65817, 69849, 70106, 4892, 8667, 69598, 65759, 69920, 68576, 64610, 66469, 70124, 66159, 70131, 70134, 63673, 69882, 69886]",2018-02-19
184,"[70144, 2369, 3587, 68996, 70342, 65607, 43016, 66441, 3147, 69006, 67215, 68306, 65817, 64666, 69753, 69539, 69731, 65764, 64615, 69288, 21544, 65769, 13483, 66105, 61745, 8945, 66228, 2105, 63995, 64509]",2018-02-22
208,"[69313, 70211, 69380, 69508, 65926, 68550, 2315, 14923, 65295, 12879, 69524, 69780, 64027, 71387, 69535, 3682, 63673, 70693, 69095, 13483, 71148, 64625, 68978, 66162, 65398, 69048, 2105, 71227, 63486, 69311]",2018-02-26
338,"[2112, 82177, 76162, 69442, 76355, 76227, 81860, 67975, 83784, 62217, 85065, 81996, 76623, 76113, 83797, 82646, 83545, 76570, 81117, 76381, 76513, 76323, 77799, 76778, 76522, 33518, 76274, 76468, 76475, 76159]",2018-04-10
266,"[4289, 74817, 85699, 72580, 50497, 73409, 76040, 72584, 2442, 72649, 72572, 72595, 72639, 72665, 72603, 72862, 72674, 72547, 64355, 67197, 84006, 72871, 73446, 72552, 5610, 69294, 72822, 72700, 82941, 72895]",2018-04-13
266,"[72832, 73409, 28930, 72641, 72898, 73029, 72572, 72649, 70348, 72700, 85969, 85970, 72657, 72534, 74455, 85975, 72669, 73696, 69244, 72547, 64355, 72742, 63334, 72552, 72556, 72622, 73137, 72888, 85243, 72508]",2018-04-15
