Token,Nodes,Dates
368,"(61745, 63743, 74449, 75743, 81463, 82337)","2018-03-25, 2018-03-26"
187,"(70375, 98208, 101815, 102543, 102679, 104156)","2018-08-04, 2018-08-12"
824,"(106724, 107678, 109137, 162228, 162229, 168451)","2018-11-29, 2018-12-12"
1577,"(195162, 237164, 392622, 401884, 402987, 411318)","2019-09-25, 2019-09-26"
4279,"(543647, 568520, 568525, 568527, 575557, 575558)","2020-07-09, 2020-07-15"
4841,"(566160, 566173, 566195, 569265, 569282, 569620)","2020-07-23, 2020-08-10"
5887,"(29767, 903088, 904340, 6466443, 7330833, 7330867)","2024-01-16, 2024-02-25"
6458,"(540531, 677743, 678057, 691054, 692145, 692146)","2020-11-27, 2020-12-09, 2021-04-22, 2021-04-27, 2021-05-04, 2021-05-10, 2021-05-13, 2021-05-19, 2021-07-07, 2021-08-18, 2021-09-29, 2022-01-20, 2022-04-05"
6458,"(540531, 677743, 678057, 708859, 708872, 709083)","2020-12-17, 2021-08-26"
6458,"(540531, 677743, 678057, 714916, 714917, 714919)","2020-12-29, 2021-05-06, 2021-09-06, 2021-10-10"
6458,"(691054, 692145, 692146, 714916, 714917, 714919)","2020-12-30, 2021-08-14"
6458,"(705290, 709448, 711634, 717995, 718355, 718356)","2021-01-08, 2022-11-23, 2023-03-27, 2023-11-02"
6458,"(691054, 692145, 692146, 708859, 708872, 709083)","2021-02-09, 2021-03-15"
6458,"(540531, 677743, 678057, 722471, 725124, 725589)","2021-02-11, 2021-02-12, 2021-03-16, 2021-06-15"
6458,"(540531, 677743, 678057, 717995, 718355, 718356)","2021-03-02, 2022-11-09, 2023-06-01"
6458,"(540531, 677743, 678057, 705290, 709448, 711634)","2021-04-26, 2021-05-27, 2021-06-08, 2021-06-11, 2021-06-23, 2021-07-22, 2021-07-29, 2021-09-20, 2021-09-21, 2021-10-14, 2022-01-03, 2022-01-26, 2022-02-02, 2022-02-25, 2022-02-28, 2022-03-09, 2022-04-20, 2022-05-26, 2022-06-28, 2022-12-22, 2023-01-05, 2023-01-27, 2023-02-03, 2023-03-08, 2023-05-03, 2023-05-30, 2023-05-31, 2023-06-08, 2023-06-23, 2023-08-03, 2023-08-18"
6458,"(691054, 692145, 692146, 705290, 709448, 711634)","2021-04-29, 2021-06-10, 2022-07-06, 2022-08-05"
6458,"(540531, 677743, 678057, 956245, 958854, 960449)","2021-06-29, 2021-07-23, 2021-10-11"
6458,"(540531, 677743, 678057, 725589, 1032441, 1033974)","2021-10-06, 2021-12-01, 2022-02-05"
6458,"(705290, 709448, 711634, 1066137, 1095074, 1095132)","2021-10-25, 2022-05-11, 2022-08-02"
6458,"(705290, 709448, 711634, 725589, 1032441, 1033974)","2021-12-05, 2022-01-06"
6458,"(691054, 692145, 692146, 2164264, 2237041, 2237060)","2021-12-30, 2022-01-02"
6458,"(540531, 677743, 678057, 1066137, 1095074, 1095132)","2022-01-10, 2023-01-12, 2023-07-21"
6458,"(540531, 677743, 678057, 714919, 994151, 994593)","2022-02-23, 2022-03-04"
6458,"(540531, 677743, 678057, 2807229, 3160872, 3161292)","2022-06-29, 2023-01-20"
6458,"(705290, 709448, 711634, 714919, 3673021, 3716327)","2022-10-28, 2022-11-10, 2022-12-02"
6458,"(705290, 709448, 711634, 2807229, 3160872, 3161292)","2023-01-17, 2023-02-15, 2023-02-23, 2023-03-10"
6509,"(477396, 680295, 680861, 694033, 697387, 706376)","2020-12-27, 2020-12-28"
7560,"(720810, 720811, 726942, 726943, 727528, 727529)","2021-01-30, 2021-01-31"
13275,"(957335, 1483679, 1843396, 1849872, 1912252, 2904937)","2022-04-11, 2022-04-12"
23928,"(2904937, 3265594, 3271334, 3273903, 3274027, 3274064)","2022-04-13, 2022-04-14, 2022-04-22"
31840,"(1728308, 2145701, 2607808, 2904937, 3107779, 3243952)","2022-04-12, 2022-04-14, 2022-04-17"
52871,"(3107779, 3186333, 3197901, 3218569, 3253929, 3255720)","2022-04-13, 2022-04-14"
50936,"(4175087, 4184049, 5945257, 5950407, 5955113, 5955247)","2023-03-19, 2023-03-21"
50936,"(4175087, 4184049, 4586101, 4639032, 5955113, 5955247)","2023-03-26, 2023-03-28"
50936,"(4621467, 4794249, 5244741, 5536430, 6148858, 6359130)","2023-06-10, 2023-06-25"
60736,"(6118751, 6118752, 6118753, 6149030, 6149031, 6149032)","2023-06-15, 2023-06-16, 2023-06-17"
110675,"(5348534, 5348667, 5348717, 5355482, 5355487, 5355539)","2023-01-01, 2023-01-02, 2023-01-03"
103725,"(4175087, 4184049, 5945257, 5950407, 5955113, 5955247)","2023-03-04, 2023-03-05, 2023-03-08, 2023-03-11, 2023-03-12, 2023-03-15, 2023-03-17, 2023-03-19, 2023-03-22, 2023-03-23, 2023-04-03, 2023-04-06, 2023-04-17, 2023-04-20, 2023-04-21, 2023-04-22, 2023-04-25, 2023-04-28, 2023-05-01, 2023-05-07"
103725,"(4621467, 5536430, 5945257, 5950407, 5955113, 5955247)","2023-03-14, 2023-04-10"
103725,"(4175087, 4184049, 4621467, 5536430, 5945257, 5950407)","2023-04-23, 2023-04-24"
153052,"(2993901, 3338527, 5775454, 5776075, 5776449, 5776839)","2023-03-06, 2023-03-14, 2023-03-19, 2023-03-23"
177253,"(3141379, 3141380, 4731003, 6607247, 6633767, 6710793)","2023-06-25, 2023-06-29"
177253,"(1658206, 3141379, 3141380, 3856786, 6607247, 6633767)","2023-10-21, 2024-02-10"
181521,"(6726665, 6742667, 6742668, 6746321, 6751064, 6779242)","2023-07-05, 2023-07-06"
181521,"(6742667, 6742668, 6751064, 6779242, 6829277, 6849604)","2023-08-18, 2023-08-19"
