Token,Nodes,Smart_Contract_Flags,Dates
203,"(70726,)","(1,)","2018-02-22, 2018-02-23"
228,"(71363,)","(0,)","2018-02-26, 2018-03-07, 2018-03-13, 2018-03-17"
728,"(111347,)","(0,)","2018-10-08, 2019-06-10"
1172,"(193825,)","(0,)","2019-12-13, 2020-01-01, 2020-05-11"
1172,"(474875,)","(0,)","2020-01-25, 2020-01-26"
1172,"(187625,)","(0,)","2020-07-11, 2021-03-04"
936,"(398918,)","(0,)","2019-07-19, 2019-07-22"
952,"(170074,)","(0,)","2019-04-18, 2019-04-21"
1851,"(396822,)","(0,)","2019-07-27, 2019-07-30"
881,"(104516,)","(0,)","2019-12-09, 2019-12-10, 2019-12-11, 2019-12-12"
881,"(956575,)","(0,)","2022-08-06, 2022-09-15"
3026,"(465312,)","(0,)","2019-12-29, 2021-04-08"
2951,"(461865,)","(0,)","2020-01-09, 2020-01-27"
3170,"(445181,)","(0,)","2020-01-14, 2020-01-23"
3309,"(165974,)","(0,)","2020-01-23, 2020-01-29"
3166,"(470351,)","(0,)","2020-02-05, 2020-02-14, 2020-04-15, 2020-04-16"
2982,"(162386,)","(0,)","2020-02-28, 2020-03-17"
3910,"(528390,)","(0,)","2020-03-05, 2020-03-06"
3814,"(464879,)","(0,)","2020-03-30, 2020-04-27"
2960,"(463075,)","(0,)","2020-04-10, 2020-04-25, 2020-05-22, 2020-05-31"
4274,"(182230,)","(0,)","2020-04-19, 2020-07-09"
4718,"(81321,)","(0,)","2020-04-26, 2020-05-03, 2020-05-05, 2020-10-04"
4774,"(551528,)","(0,)","2020-04-30, 2020-05-04"
4856,"(14664,)","(0,)","2020-05-17, 2020-05-20, 2020-06-03"
5091,"(554974,)","(0,)","2020-05-28, 2020-06-02"
3379,"(426545,)","(0,)","2020-07-03, 2020-07-15, 2021-01-16"
5490,"(229249,)","(0,)","2020-07-07, 2020-07-08"
5364,"(546424,)","(0,)","2020-07-14, 2020-09-06"
5004,"(687371,)","(0,)","2022-08-07, 2022-08-10, 2023-02-14"
1484,"(187462,)","(0,)","2020-09-24, 2020-10-01, 2020-10-23"
4509,"(717926,)","(0,)","2022-02-01, 2022-03-09"
4509,"(1142465,)","(0,)","2022-02-03, 2022-04-17, 2022-05-29, 2022-09-15"
4509,"(1439384,)","(0,)","2022-02-05, 2022-04-14, 2022-11-20, 2023-03-12, 2023-12-09, 2024-01-08, 2024-02-13"
4509,"(2252874,)","(0,)","2022-03-08, 2023-09-26, 2023-12-31, 2024-01-31"
4509,"(2852867,)","(0,)","2022-03-16, 2022-04-15, 2022-07-04, 2022-09-12, 2022-12-10, 2023-01-11, 2023-09-03, 2023-09-24, 2023-09-25, 2024-03-02"
4509,"(1972302,)","(0,)","2022-04-03, 2022-08-17, 2022-08-19, 2022-09-19, 2022-10-19, 2023-01-15, 2023-01-17, 2023-03-18, 2023-05-18, 2023-06-25, 2023-07-25, 2023-08-24, 2023-10-23, 2023-11-14, 2023-11-15, 2023-11-23, 2024-01-23"
4509,"(550735,)","(0,)","2022-06-30, 2023-04-05, 2023-04-06, 2023-09-11"
4509,"(3835100,)","(0,)","2022-08-04, 2022-11-03"
4509,"(4248572,)","(0,)","2022-08-20, 2022-09-20, 2022-10-21"
4509,"(2002743,)","(0,)","2022-10-23, 2024-03-09"
4509,"(649585,)","(0,)","2022-10-24, 2022-11-01, 2022-11-10, 2022-12-01, 2023-01-05, 2023-06-21"
4509,"(4042561,)","(0,)","2022-11-05, 2022-12-06, 2023-11-10"
