Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
1,"(2, 96, 90754)","(1, 0, 0)","['2018-05-20', '2018-09-15', '2018-09-30']","[118, 15]"
21,"(704, 34515, 56173)","(0, 0, 0)","['2018-01-19', '2018-02-23']",[35]
24,"(99, 235, 61077)","(0, 1, 0)","['2018-01-11', '2018-01-18']",[7]
24,"(99, 90225, 109515)","(0, 0, 1)","['2018-09-05', '2018-09-06']",[1]
24,"(99, 73992, 175431)","(0, 0, 1)","['2018-12-19', '2018-12-20']",[1]
24,"(99, 182092, 193704)","(0, 0, 1)","['2019-03-06', '2019-03-08']",[2]
186,"(70115, 70368, 71701)","(0, 1, 0)","['2018-02-28', '2018-03-01']",[1]
155,"(69451, 70819, 75662)","(1, 1, 0)","['2018-04-20', '2018-07-30']",[101]
155,"(69451, 73069, 75662)","(1, 1, 0)","['2018-04-21', '2018-04-25']",[4]
155,"(69450, 69451, 84967)","(1, 1, 0)","['2018-09-06', '2018-09-07']",[1]
271,"(72997, 73278, 73300)","(0, 1, 0)","['2018-03-05', '2018-03-28', '2018-07-19']","[23, 113]"
270,"(58334, 72966, 73667)","(0, 1, 0)","['2018-03-12', '2018-03-15', '2018-03-20', '2018-03-21', '2018-03-22']","[3, 5, 1, 1]"
270,"(69791, 72966, 73667)","(0, 1, 0)","['2018-03-16', '2018-03-17', '2018-03-18']","[1, 1]"
270,"(70956, 72966, 73667)","(0, 1, 0)","['2018-03-25', '2018-03-31']",[6]
365,"(77527, 81491, 82628)","(0, 1, 1)","['2018-06-27', '2018-06-28', '2018-06-29', '2018-08-03']","[1, 1, 35]"
376,"(35647, 82720, 83101)","(0, 1, 0)","['2018-03-29', '2018-03-30']",[1]
281,"(6659, 75021, 75039)","(0, 1, 0)","['2018-04-18', '2018-04-26']",[8]
388,"(38895, 66505, 83437)","(0, 0, 1)","['2018-05-15', '2018-05-16']",[1]
388,"(74646, 83437, 84261)","(0, 1, 0)","['2018-05-28', '2018-06-11', '2018-07-08', '2018-07-24']","[14, 27, 16]"
388,"(74646, 83437, 83932)","(0, 1, 0)","['2018-06-15', '2018-06-18']",[3]
388,"(75255, 83437, 84261)","(0, 1, 0)","['2018-06-19', '2018-06-20']",[1]
388,"(74646, 83437, 101950)","(0, 1, 0)","['2018-07-26', '2018-07-29']",[3]
396,"(70819, 156385, 175307)","(1, 0, 1)","['2019-08-02', '2020-03-14', '2020-04-21']","[225, 38]"
406,"(66643, 87667, 87794)","(0, 0, 0)","['2018-05-08', '2018-05-09']",[1]
420,"(86532, 86533, 86647)","(1, 1, 0)","['2018-04-19', '2018-04-21']",[2]
82,"(63936, 83770, 153165)","(1, 0, 0)","['2018-11-04', '2018-11-30']",[26]
468,"(85037, 90137, 90142)","(0, 1, 0)","['2018-05-12', '2018-05-13']",[1]
266,"(63714, 72547, 165220)","(0, 1, 0)","['2018-11-08', '2018-11-09']",[1]
266,"(72547, 447594, 469479)","(1, 0, 0)","['2020-01-11', '2020-02-17']",[37]
471,"(89975, 90565, 92842)","(0, 1, 0)","['2018-06-06', '2018-06-07']",[1]
464,"(88497, 90584, 94418)","(1, 0, 0)","['2018-06-19', '2018-07-15']",[26]
486,"(92120, 92582, 92822)","(0, 0, 0)","['2018-06-03', '2018-06-06']",[3]
498,"(70211, 94108, 94109)","(0, 0, 0)","['2018-06-12', '2018-06-18', '2018-06-21']","[6, 3]"
494,"(93809, 102664, 107178)","(1, 0, 0)","['2018-08-24', '2018-08-26', '2018-08-27']","[2, 1]"
533,"(102117, 106479, 106480)","(1, 0, 0)","['2018-08-19', '2018-10-20']",[62]
