
File: /home/prio/loc_project/Data/19000000to19249999_ERC721Transaction.csv
Matching Rows:
         blockNumber   timestamp                                                     transactionHash                                tokenAddress                                        from                                          to  fromIsContract  toIsContract                                                               tokenId
1040870     19099750  1706380667  0xcc471b4f1067d34f741463629b3591e553ccfda1c19caf8f823ab2fa719dfc28  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x6bca07720903b225c31d9b00d5f3862572722809  0xbb52ce36ed80a6b2501cf35677e06b4c10da85f7               1             0  77404534376389532222969750347497767754387895119403596771918568522004
4841550     19217402  1707806831  0x1eed23531c2ac83d037791e62b2cf8548831c1a822e73d008945de7ed403e1dc  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xd5df956d399d907b8f811e8587eb8119fe72741f  0x51886fb39f4a88d3e6c2d9e121387b543262f5c8               0             0  77509846668058089409667668375181438186706790214804145883172879473539
4841615     19217404  1707806855  0xb97275c6e51a7a3de6c4923ef4bd8aa02470106c2feeb771ae8dba75f65bf527  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xd5df956d399d907b8f811e8587eb8119fe72741f  0x51886fb39f4a88d3e6c2d9e121387b543262f5c8               0             0  77509846668058089409667668375181438186706790214804145883172879494117
4844481     19217483  1707807803  0x1f733fee47a46d843d0f6b8bb2be126e8e0edfa1e80bcccb5078a85d9ebfa201  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x7069826f8d5576b9c9960a6db785665a5c3dfa65  0x51886fb39f4a88d3e6c2d9e121387b543262f5c8               0             0  77509846668058089409667668375181438186706790214804145883172879468763
4845125     19217497  1707807971  0x717a5cf86855e6f2293c577c0c8df74bfc8d26ca335bf9907992eb2d709f7abc  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x7069826f8d5576b9c9960a6db785665a5c3dfa65  0x51886fb39f4a88d3e6c2d9e121387b543262f5c8               0             0  77509846668058089409667668375181438186706790214804145883172879475902
4854103     19217507  1707808091  0x8b96259b523dfae75965d9a64191e0779b58510020b6ddfdb4b12304644bcf5b  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x7069826f8d5576b9c9960a6db785665a5c3dfa65  0x51886fb39f4a88d3e6c2d9e121387b543262f5c8               0             0  77509846668058089409667668375181438186706790214804145883172879479301
5211894     19224683  1707895271  0xc20c52b7128c9582dd5a4c44595d7b777bfa26a449dab4c0fc0169056640ccf5  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x6bca07720903b225c31d9b00d5f3862572722809  0x42ce0c60b25c03a7ba8791a847e42a4b8ebf2b5e               1             0  77404534376389532222969750347497767754387895119403596771918568504274

File: /home/prio/loc_project/Data/18750000to18999999_ERC721Transaction.csv
Matching Rows:
         blockNumber   timestamp                                                     transactionHash                                tokenAddress                                        from                                          to  fromIsContract  toIsContract                                                               tokenId
697266      18841361  1703247815  0x0905bb3e52aedf50c8d800bee3e423e5dcc1c58e76db7243efdf6259585f3bd8  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x6bca07720903b225c31d9b00d5f3862572722809  0x9d004366aae896ea4c6f4d636fc204f29c5a2a24               1             0   1790308958365472173864606470622397349421216621809334891323286625865
704873      18842493  1703261519  0x9dc92cf0d78e6da7525e614878f0c565bd2cacdc09e81e62c64696aa441f08fb  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xc7d782dbca1fd0345af3d2cb07949cb7e6da2c8f  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  77299222084720975036271832319814097322069000024003047660664257522904
704998      18842516  1703261795  0x59cfd04f3116b15ded68460fa7f1b1cac77e8369a347fd1c010f02edc9c5f4b1  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xc7d782dbca1fd0345af3d2cb07949cb7e6da2c8f  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  77299222084720975036271832319814097322069000024003047660664257606316
1224860     18881694  1703737211  0x84117fe75b876cd10af994e1e36552f187650c63300e4b53119721ef78820a6c  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xbddd3d86daa070c5e7b025ef36f5de42aabfb97e  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  77404534376389532222969750347497767754387895119403596771918568507725
1224861     18881694  1703737211  0x84117fe75b876cd10af994e1e36552f187650c63300e4b53119721ef78820a6c  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xbddd3d86daa070c5e7b025ef36f5de42aabfb97e  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  77404534376389532222969750347497767754387895119403596771918568522004
1224862     18881694  1703737211  0x84117fe75b876cd10af994e1e36552f187650c63300e4b53119721ef78820a6c  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xbddd3d86daa070c5e7b025ef36f5de42aabfb97e  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  77404534376389532222969750347497767754387895119403596771918568504274
1224863     18881694  1703737211  0x84117fe75b876cd10af994e1e36552f187650c63300e4b53119721ef78820a6c  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xbddd3d86daa070c5e7b025ef36f5de42aabfb97e  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  77404534376389532222969750347497767754387895119403596771918568534760
1224864     18881694  1703737211  0x84117fe75b876cd10af994e1e36552f187650c63300e4b53119721ef78820a6c  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xbddd3d86daa070c5e7b025ef36f5de42aabfb97e  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  77404534376389532222969750347497767754387895119403596771918568508073
1383435     18894630  1703894171  0xe0b0daec357775f8793a415b141f6171c167112df2d7fba9a2838949ca41442b  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x71116929ee55a6bd4444d2868da11445f6cdfcac  0x6bca07720903b225c31d9b00d5f3862572722809               0             1   1790308958365472173864606470622397349421216621809334891323286625865
1383464     18894636  1703894243  0x19f6f26dfe4586193a65aa72d769483bee56fc6c8fd10415a4adb9394ff7bbdf  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x71116929ee55a6bd4444d2868da11445f6cdfcac  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  76246099168035403169292652042977392998880049069997556548121147742671
1383480     18894638  1703894267  0x010f52348dbd5c1e93e2350efc330b8e43b3a381630948e4e72e7b8b8babe70a  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0x71116929ee55a6bd4444d2868da11445f6cdfcac  0x6bca07720903b225c31d9b00d5f3862572722809               0             1  76246099168035403169292652042977392998880049069997556548121147767762

File: /home/prio/loc_project/Data/18500000to18749999_ERC721Transaction.csv
Matching Rows:
         blockNumber   timestamp                                                     transactionHash                                tokenAddress                                        from                                          to  fromIsContract  toIsContract                                                               tokenId
2075958     18733873  1701945551  0x8a83081b51827b9b533b1002b84fd6d8dcd15b26739b816530ade51ab61bde73  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xc7d782dbca1fd0345af3d2cb07949cb7e6da2c8f  0x6bca07720903b225c31d9b00d5f3862572722809               0             0   1790308958365472173864606470622397349421216621809334891323286625865
2075972     18733878  1701945611  0xf0e3cf3e03b7c5f9a76814e4af272cbf23db57dc5054f28c674b388552a11890  0xd5b0f341cb6db2a8022e1e1c13dc4404870a510c  0xc7d782dbca1fd0345af3d2cb07949cb7e6da2c8f  0x6bca07720903b225c31d9b00d5f3862572722809               0             0  76246099168035403169292652042977392998880049069997556548121147767283

File: /home/prio/loc_project/Data/1000000to1999999_ERC721Transaction.csv
Matching Rows:
     blockNumber   timestamp                                                     transactionHash                                tokenAddress                                        from                                          to  fromIsContract  toIsContract      tokenId
22       1008013  1455542892  0xb3a5580191a1c910f422fff68cede5d6729444fe9daba089ce9ae20b00736268  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1          411
23       1008013  1455542892  0xb3a5580191a1c910f422fff68cede5d6729444fe9daba089ce9ae20b00736268  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x9ac937835f6a06657441ac77788b72e3bddf2ae1               0             0   1000000000
35       1019682  1455746617  0x9dc2430fe8800ab8fc7ffe1406a2481c09ad2bce10ace75976a9cd30b5905220  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c               0             1   1000000000
37       1020117  1455754259  0x69383c911b8196f24817cc23a08e710b273e6a7532b06a677110b1954a6465a1  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c               0             1  21000000000
39       1020151  1455754781  0xbcff611fedcd4465fb0f697d64de7a6c6cd809caec409eee608a42a954340e84  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c               0             1   5120000000
55       1024648  1455832216  0xd27bbef4686f34c747ed008e9eebb77e3dde695de982cf17edb804e52e4dfffc  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1          662
56       1024648  1455832216  0xd27bbef4686f34c747ed008e9eebb77e3dde695de982cf17edb804e52e4dfffc  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83               0             0    500000000
58       1024651  1455832282  0xdd6456fa21b6f256c3f00463bc0fa2aed40314aec42884d97aec2c0372994699  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83  0x6e5ae67fec2d5addb82972086f65f6a3542837dd               0             0    508000000
59       1024651  1455832282  0xdd6456fa21b6f256c3f00463bc0fa2aed40314aec42884d97aec2c0372994699  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1       660400
62       1024949  1455837626  0xd91ebf819d5b2293df5f9c8e8d6e11cf5f8e92d5aafdbaec467ea361226053a5  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c  0x5d2c24efac49825f682b5d334428f1a5c96acc09               1             1       278793
63       1024949  1455837626  0xd91ebf819d5b2293df5f9c8e8d6e11cf5f8e92d5aafdbaec467ea361226053a5  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c               0             1   1000000000
73       1031100  1455943225  0xe279b556372d9c76c87e68539f15837daec8a4046eeb06ce63dfc8fb26e8c4e6  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x3835169f71f2854c299d033a70f9e407ea453213  0xd2f1f8d517263b023482ce4fbebc944ffa22a1d0               0             1     10000000
76       1031118  1455943519  0x525c58fd8f6ff0f2cab2ad42e5393b0be1eb332d370529f70be18000d2f646f1  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0xd2f1f8d517263b023482ce4fbebc944ffa22a1d0  0xb51446cc4291b0882438b20b57b6e6c0329cf62e               1             0      5000000
